HUC10,HUC12,damID,streamID,reachID,Strahler,fr_StaStr,to_EndStr,fr_StaRea,to_EndRea,to_outlet,MIvalid,Z,MaxElev,Drainage,INFLOW_VOL,damLength,damOrient,PROC_CODE,VOL_1,AREA_1,V_A_1,V_LEN_1,V_STO_1,VOL_2,AREA_2,V_A_2,V_LEN_2,V_STO_2,VOL_3,AREA_3,V_A_3,V_LEN_3,V_STO_3,VOL_4,AREA_4,V_A_4,V_LEN_4,V_STO_4,VOL_5,AREA_5,V_A_5,V_LEN_5,V_STO_5,VOLmax,AREAmax,Vmax_Amax,Vmax_LEN,Vmax_STO,maxH,reachWid,B_orif,H_orif,_FID
Volga,Hewett,301127,30323,30373,3,620.000000000000000,281.910000000000000,516.169999999999000,281.910000000000000,10831.269919007900000,1,288.406188999999000,291.428314999999000,487949,92954.284499999900000,19.573778529999900,300,1,78.090840929999900,166.910013600000000,0.467861929000000,3.989563936000000,0.000840099000000,378,471,1,19,0,1052,850,1,54,0,0,0,0,0,0,0,0,0,0,0,1071.272787000000000,850.866241100000000,1.259037831000000,54.729994259999900,0.011524727000000,3.022126004000000,4,0.8,0.350000000000000,748
Volga,Hewett,301128,30323,30373,3,720.000000000000000,181.909999999999000,616.169999999999000,181.909999999999000,10731.269919007900000,1,285.921691899999000,288.692555599999000,535094,101935.407000000000000,17.987531420000000,100,1,46.452904529999900,129.203580899999000,0.359532640000000,2.582505817000000,0.000455709000000,389,588,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,951.974073500000000,808.976519499999000,1.176763541000000,52.924109000000000,0.009338993000000,2.770863682000000,4,0.8,0.350000000000000,749
Volga,Hewett,301129,30323,30373,3,820.000000000000000,81.909999999999900,716.169999999999000,81.909999999999900,10631.269919007900000,1,283.825378399999000,285.647466199999000,558449,106384.534499999000000,12.855449560000000,100,1,122.836390199999000,311.333122100000000,0.394549701000000,9.555199882000000,0.001154645000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521.288676499999000,601.929457699999000,0.866029515000000,40.550015299999900,0.004900042000000,1.822087801000000,4,0.8,0.400000000000000,750
Volga,Hewett,301130,30324,30374,3,20.000000000000000,1418.240000000000000,20.000000000000000,201.060000000000000,9496.070182420550000,1,292.055236799999000,297.191967599999000,94822,18063.591000000000000,53.226951339999900,300,1,153.630741199999000,169.091155299999000,0.908567577000000,2.886333659000000,0.008504994000000,340,321,1,6,0,846,780,1,16,0,2016,1586,1,38,0,4061,2480,2,76,0,4405.277720000000000,2508.291541000000000,1.756286161000000,82.764043569999900,0.243876078000000,5.136730799000000,4,0.8,0.400000000000000,751
Volga,Hewett,301131,30324,30374,3,120.000000000000000,1318.240000000000000,120.000000000000000,101.060000000000000,9396.070182420550000,1,287.748168899999000,288.873783500000000,106934,20370.926999999900000,27.389390980000000,300,1,9.690406472999990,97.136277309999900,0.099760941000000,0.353801458000000,0.000475698000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.726613860000000,138.898444699999000,0.185218876000000,0.939291198000000,0.001262908000000,1.125614513000000,4,0.8,0.350000000000000,752
Volga,Hewett,301133,30324,30375,3,320.000000000000000,1118.240000000000000,98.939999999999900,308.759999999999000,9196.073313588440000,1,280.972595200000000,286.075672899999000,216427,41229.343500000000000,78.784047720000000,300,1,63.312014150000000,157.132596100000000,0.402920945000000,0.803614640000000,0.001535606000000,568,955,1,7,0,2335,2763,1,30,0,6378,5264,1,81,0,12859,7618,2,163,0,13652.047280000000000,7667.070037000000000,1.780608135000000,173.284410699999000,0.331124537000000,5.103077638000000,4,0.8,0.400000000000000,753
Volga,Hewett,301134,30324,30375,3,420.000000000000000,1018.240000000000000,198.939999999999000,208.759999999999000,9096.073313588440000,1,277.314361599999000,282.424872300000000,258897,49319.878499999900000,79.418999580000000,100,1,106.594139900000000,244.302945099999000,0.436319504000000,1.342174297000000,0.002161281000000,602,805,1,8,0,1924,1954,1,24,0,4506,3372,1,57,0,8931,5421,2,112,0,9538.354650999990000,5490.198376999990000,1.737342441000000,120.101672199999000,0.193397773000000,5.110510717000000,4,0.8,0.400000000000000,754
Volga,Hewett,301135,30324,30375,3,520.000000000000000,918.240000000000000,298.939999999999000,108.760000000000000,8996.073313588440000,1,275.999115000000000,281.111784000000000,305071,58116.025500000000000,125.339605199999000,300,1,381.944729699999000,1125.567784999990000,0.339335165000000,3.047278864000000,0.006572107000000,2519,3101,1,20,0,6690,5360,1,53,0,13305,7993,2,106,0,22671,10633,2,181,0,23880.322960000000000,10713.289800000000000,2.229037336000000,190.524957599999000,0.410907710000000,5.112669017000000,4,0.8,0.400000000000000,755
Volga,Hewett,301137,30324,30377,3,720.000000000000000,718.240000000000000,15.320000000000000,135.650000000000000,8796.068293671850000,1,270.385284399999000,272.357598900000000,416563,79355.251499999900000,14.505777390000000,300,1,50.297738480000000,105.392757300000000,0.477240939000000,3.467427986000000,0.000633830000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.129340200000000,107.019836299999000,1.440194132000000,10.625376090000000,0.001942270000000,1.972314453000000,4,0.8,0.400000000000000,756
Volga,Hewett,301138,30324,30377,3,820.000000000000000,618.240000000000000,115.319999999999000,35.649999999999900,8696.068293671850000,1,268.883453400000000,269.990168400000000,428445,81618.772500000000000,13.283575700000000,100,1,67.295143620000000,201.731895400000000,0.333587029000000,5.066041340000000,0.000824506000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.882231329999900,213.039487199999000,0.426598057000000,6.841699358000000,0.001113497000000,1.106715060000000,4,0.8,0.350000000000000,757
Volga,Hewett,301139,30324,30378,3,920.000000000000000,518.240000000000000,64.349999999999900,518.240000000000000,8596.066172323470000,1,267.729064900000000,272.849629100000000,545966,104006.523000000000000,115.112662999999000,100,1,345.067230499999000,874.704407999999000,0.394495818000000,2.997647882000000,0.003317746000000,2473,3483,1,21,0,8038,8106,1,70,0,19751,15163,1,172,0,38022,21239,2,330,0,40609.080499999900000,21498.987809999900000,1.888883368000000,352.776831200000000,0.390447439000000,5.120564185000000,4,0.8,0.400000000000000,758
Volga,Hewett,301140,30324,30378,3,1020.000000000000000,418.240000000000000,164.349999999999000,418.240000000000000,8496.066172323470000,1,265.891296399999000,271.025189300000000,592476,112866.677999999000000,92.929116530000000,100,1,78.626406220000000,204.780235800000000,0.383955053000000,0.846090108000000,0.000696631000000,950,1985,0,10,0,4735,5975,1,51,0,13141,10895,1,141,0,27134,17487,2,292,0,29539.581129999900000,18068.918140000000000,1.634828433000000,317.872182899999000,0.261721011000000,5.133892878000000,4,0.8,0.400000000000000,759
Volga,Hewett,301141,30324,30378,3,1120.000000000000000,318.240000000000000,264.350000000000000,318.240000000000000,8396.066172323470000,1,264.985412600000000,270.093499899999000,611566,116503.323000000000000,90.128554010000000,100,1,70.554694889999900,263.094026400000000,0.268172926000000,0.782822887000000,0.000605602000000,1167,2183,1,13,0,5136,6160,1,57,0,14188,12094,1,157,0,29354,18172,2,326,0,31343.246520000000000,18419.846330000000000,1.701601955000000,347.761559799999000,0.269033069000000,5.108087290000000,4,0.8,0.400000000000000,760
Volga,Hewett,301143,30324,30378,3,1320.000000000000000,118.239999999999000,464.350000000000000,118.239999999999000,8196.066172323470000,1,261.285308799999000,262.554456200000000,693062,132028.310999999000000,11.173303000000000,100,1,239.371970199999000,239.732964799999000,0.998494181000000,21.423563840000000,0.001813035000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303.921611400000000,239.927189499999000,1.266724343000000,27.200695379999900,0.002301943000000,1.269147390000000,4,0.8,0.400000000000000,761
Volga,Hewett,301149,30326,30381,3,20.000000000000000,294.750000000000000,20.000000000000000,189.699999999999000,8223.626591201270000,1,271.611114499999000,276.709381300000000,374982,71434.070999999900000,122.400499999999000,200,1,20.415909200000000,50.987817620000000,0.400407590000000,0.166795962000000,0.000285801000000,499,1625,0,4,0,3950,5191,1,32,0,10735,8467,1,88,0,20784,11582,2,170,0,21936.444090000000000,11758.654339999900000,1.865557356000000,179.218582400000000,0.307086573000000,5.098266823000000,4,0.8,0.350000000000000,762
Volga,Hewett,301150,30326,30381,3,120.000000000000000,194.750000000000000,120.000000000000000,89.700000000000000,8123.626591201270000,1,269.999206500000000,275.096452800000000,389214,74145.267000000000000,151.015731299999000,200,1,141.600008599999000,366.678970499999000,0.386168883000000,0.937650716000000,0.001909765000000,1837,3350,1,12,0,6996,6650,1,46,0,15794,11315,1,105,0,29489,15961,2,195,0,31056.787570000000000,16157.214889999900000,1.922162192000000,205.652664799999000,0.418864060000000,5.097246224000000,4,0.8,0.350000000000000,763
Volga,Hewett,301152,30327,30384,3,20.000000000000000,429.540000000000000,20.000000000000000,429.540000000000000,8358.419587021510000,1,281.149841299999000,286.237404000000000,221869,42266.044500000000000,91.603848470000000,300,1,216.205513400000000,556.705464600000000,0.388366070000000,2.360223037000000,0.005115348000000,1177,1397,1,13,0,3135,2524,1,34,0,6263,3783,2,68,0,10701,5040,2,117,0,11146.779759999900000,5079.543228999990000,2.194445299000000,121.684622899999000,0.263728955000000,5.087562655000000,4,0.8,0.350000000000000,764
Volga,Hewett,301157,30328,30385,3,20.000000000000000,476.850000000000000,20.000000000000000,476.850000000000000,4890.769288289900000,1,260.279602099999000,265.374040799999000,164495,31336.297500000000000,79.823495359999900,100,1,105.279864799999000,345.508646699999000,0.304709783000000,1.318908228000000,0.003359678000000,868,1176,1,11,0,2555,2258,1,32,0,5507,3726,1,69,0,10173,5633,2,127,0,10711.351940000000000,5678.826046000000000,1.886191239000000,134.187959199999000,0.341819321000000,5.094438788000000,3,0.6,0.300000000000000,765
