damID	depth	storage	outflow_rect	outflow_circ
200026	0.7	256.4176229377	0.2686390715801114	0.22826068175215408
200026	0.8	293.0487119288	0.2902533813183768	0.25059343056286487
200026	0.9	329.6798009199	0.3103562330620341	0.27107755490073016
200026	1.0	366.310889911	0.32922774175170166	0.2901103216600958
200026	1.1	909.6583484809008	0.3470705897122282	0.30796371484592355
200026	1.2	1453.0058070508014	0.36403713016205197	0.32483380973745024
200026	1.3	1996.3532656207003	0.3802453615572801	0.3408675665130881
200026	1.4	2539.700724190601	0.3957889066617685	0.35617854003779476
200026	1.5	3083.0481827605	0.41074354133646224	0.37085665286041003
200026	1.6	3626.3956413304	0.4251716301084274	0.38497456731328683
200026	1.7	4169.743099900301	0.43912523572720624	0.3985920022087899
200026	1.8	4713.0905584702	0.45264835781827945	0.41175875166180215
