gen_num,diversity_within,total,num_of_new_from_prev_1,num_of_lost_from_prev_1,num_of_inherited_from_prev_1,perc_new_from_prev_1,perc_lost_from_prev_1,perc_inherited_from_prev_1
48,0.0159041723287533,632,18,60,614.0,2.848101265822785,9.49367088607595,97.15189873417721
49,0.0159051118289645,645,26,13,619.0,4.0310077519379846,2.0155038759689923,95.96899224806202
50,0.0150586545367488,629,25,41,604.0,3.97456279809221,6.518282988871224,96.02543720190779
51,0.016488668924199,633,29,25,604.0,4.581358609794629,3.949447077409163,95.41864139020537
52,0.0165467808758864,651,31,13,620.0,4.761904761904762,1.9969278033794162,95.23809523809524
53,0.0164759149792478,655,30,26,625.0,4.580152671755725,3.969465648854962,95.41984732824427
54,0.0174390699162711,654,23,24,631.0,3.5168195718654434,3.669724770642202,96.48318042813456
55,0.0177062937062937,633,21,42,612.0,3.3175355450236967,6.6350710900473935,96.6824644549763
56,0.0181690929451287,649,25,9,624.0,3.852080123266564,1.386748844375963,96.14791987673344
57,0.0161510583539051,615,27,61,588.0,4.390243902439025,9.91869918699187,95.60975609756098
58,0.017381553125876,620,30,25,590.0,4.838709677419355,4.032258064516129,95.16129032258064
59,0.0176328844790928,622,22,20,600.0,3.536977491961415,3.215434083601286,96.46302250803859
60,0.0178243552442021,631,29,20,602.0,4.595879556259905,3.1695721077654517,95.4041204437401
61,0.0167160959827446,620,23,34,597.0,3.7096774193548385,5.483870967741935,96.29032258064517
62,0.018072817663401,618,20,22,598.0,3.236245954692557,3.559870550161812,96.76375404530744
63,0.0182919792267743,634,21,5,613.0,3.312302839116719,0.7886435331230284,96.68769716088327
64,0.0174058245832507,615,22,41,593.0,3.5772357723577235,6.666666666666667,96.42276422764228
65,0.0169232448957309,620,19,14,601.0,3.064516129032258,2.2580645161290325,96.93548387096774
66,0.0190557787757031,645,37,12,608.0,5.736434108527132,1.8604651162790697,94.26356589147287
67,0.0195754149627134,651,33,27,618.0,5.0691244239631335,4.147465437788019,94.93087557603687
68,0.0182693669451919,645,30,36,615.0,4.651162790697675,5.5813953488372094,95.34883720930233
69,0.0178290508652333,646,25,24,621.0,3.869969040247678,3.7151702786377707,96.13003095975232
70,0.0170695872846266,639,17,24,622.0,2.6604068857589986,3.755868544600939,97.339593114241
71,0.017394158188382,636,27,30,609.0,4.245283018867925,4.716981132075472,95.75471698113208
72,0.0182403739276655,640,29,25,611.0,4.53125,3.90625,95.46875
73,0.0171173880943917,626,18,32,608.0,2.8753993610223643,5.111821086261981,97.12460063897764
74,0.0172308715164275,622,25,29,597.0,4.019292604501608,4.662379421221865,95.9807073954984
75,0.0167658624721011,631,27,18,604.0,4.27892234548336,2.8526148969889067,95.72107765451663
76,0.0162369663329356,626,28,33,598.0,4.472843450479234,5.271565495207668,95.52715654952077
77,0.0168012573844236,620,19,25,601.0,3.064516129032258,4.032258064516129,96.93548387096774
78,0.017456087878623,642,35,13,607.0,5.451713395638629,2.0249221183800623,94.54828660436137
79,0.0171781098760836,646,30,26,616.0,4.643962848297214,4.024767801857585,95.3560371517028
80,0.0165149103811735,633,19,32,614.0,3.0015797788309637,5.055292259083728,96.99842022116904
81,0.0166957772526456,650,30,13,620.0,4.615384615384615,2.0,95.38461538461539
82,0.0167997725569253,650,32,32,618.0,4.923076923076923,4.923076923076923,95.07692307692308
83,0.0164849295339985,641,31,40,610.0,4.83619344773791,6.240249609984399,95.16380655226209
84,0.0169787245123824,652,35,24,617.0,5.368098159509202,3.6809815950920246,94.6319018404908
85,0.0170089355698385,651,20,21,631.0,3.0721966205837172,3.225806451612903,96.92780337941629
86,0.0172285835453774,650,24,25,626.0,3.6923076923076925,3.8461538461538463,96.3076923076923
87,0.0170308152117901,661,30,19,631.0,4.53857791225416,2.8744326777609683,95.46142208774585
88,0.0168759913669813,649,19,31,630.0,2.9275808936825887,4.776579352850539,97.07241910631741
89,0.0170533673174448,649,21,21,628.0,3.235747303543914,3.235747303543914,96.76425269645608
90,0.0174628450106157,658,25,16,633.0,3.7993920972644375,2.43161094224924,96.20060790273556
91,0.0171440741135129,644,22,36,622.0,3.4161490683229814,5.590062111801243,96.58385093167702
92,0.0168165923711395,630,20,34,610.0,3.1746031746031744,5.396825396825397,96.82539682539682
93,0.0168248376666053,640,25,15,615.0,3.90625,2.34375,96.09375
94,0.0160389403127992,603,21,58,582.0,3.482587064676617,9.618573797678275,96.51741293532338
95,0.0159244051379237,605,33,31,572.0,5.454545454545454,5.12396694214876,94.54545454545455
