streamID,damID,immig_0,immig_1,immig_2,immig_3,immig_4,immig_5,immig_6,immig_7
20065,200185,0,1,0,0,1,1,1,1
20066,200187,1,1,1,0,1,0,0,0
20067,200188,1,0,0,1,0,1,1,0
20067,200189,0,1,1,0,1,1,0,1
20068,200190,1,1,1,1,1,1,0,0
20069,200192,1,0,0,1,0,1,1,0
20069,200193,0,0,0,0,0,1,1,1
20069,200194,0,1,1,0,1,1,0,0
20072,200204,1,0,0,0,0,1,1,1
20072,200205,0,0,0,0,0,1,1,1
20072,200206,0,0,0,0,0,1,1,1
20072,200207,0,0,0,0,0,1,1,1
20072,200208,0,0,0,0,0,1,1,1
20072,200209,0,0,0,0,0,1,0,0
20072,200210,0,1,1,1,1,0,1,1
20073,200211,1,1,1,1,1,1,1,1
20074,200212,1,0,0,1,0,0,0,0
20074,200213,0,1,1,0,1,0,1,1
20075,200214,1,0,0,0,0,1,1,1
20075,200215,0,0,0,1,0,1,1,1
20075,200216,0,0,0,0,0,1,1,1
20075,200217,0,1,1,0,1,1,1,0
20079,200223,1,0,0,1,0,1,1,1
20079,200224,0,0,1,0,0,1,0,1
20079,200225,0,1,0,0,1,1,1,1
20082,200232,1,1,1,1,1,1,1,0
20083,200233,1,1,1,1,1,0,1,0
20084,200235,1,0,0,0,0,1,1,1
20084,200236,0,0,0,0,0,1,1,1
20084,200237,0,0,0,0,0,1,1,1
20084,200238,0,0,0,1,0,1,1,1
20084,200239,0,1,1,0,1,0,1,1
20087,200243,1,0,0,0,0,1,1,1
20087,200244,0,0,0,0,0,1,1,1
20087,200245,0,0,1,0,0,1,1,1
20087,200246,0,1,0,1,1,1,1,1
20088,200249,1,1,0,1,1,0,0,0
20089,200250,1,0,0,0,0,1,1,1
20089,200251,0,0,0,0,0,1,1,1
20089,200253,0,0,0,1,0,0,1,1
20089,200254,0,1,1,0,1,1,0,0
20090,200256,1,1,1,1,1,0,1,0
20093,200260,1,1,1,1,1,1,1,0
20096,200267,1,0,0,0,0,1,0,1
20096,200268,0,0,0,0,0,1,1,1
20096,200272,0,1,1,1,1,1,1,1
20097,200274,1,0,0,1,0,1,1,1
20097,200275,0,0,0,0,0,0,1,1
20097,200276,0,0,0,0,0,1,1,1
20097,200277,0,1,1,0,1,1,1,1
20098,200278,1,0,0,1,0,1,1,1
20098,200279,0,0,0,0,0,1,1,1
20098,200280,0,0,1,0,0,1,1,1
20098,200281,0,1,0,0,1,1,1,1
20100,200287,1,1,1,1,1,1,0,1
20103,200295,1,0,0,0,0,1,1,1
20103,200296,0,0,0,0,0,1,1,1
20103,200297,0,0,0,0,0,1,1,1
20103,200298,0,0,0,0,0,1,1,1
20103,200299,0,0,0,0,0,1,0,0
20103,200300,0,0,0,0,0,0,1,1
20103,200301,0,0,0,1,0,0,0,0
20103,200302,0,1,1,0,1,1,1,1
20105,200309,1,0,0,0,0,1,0,1
20105,200310,0,1,1,1,1,0,1,0
20106,200313,1,1,1,1,1,0,1,0
20107,200315,1,0,1,0,0,0,1,1
20107,200316,0,0,0,0,0,1,1,0
20107,200317,0,1,0,1,1,0,0,1
20108,200318,1,0,0,1,0,1,1,0
20108,200319,0,1,1,0,1,1,0,1
20110,200324,1,0,0,0,0,1,1,1
20110,200325,0,0,0,0,0,1,1,1
20110,200326,0,0,1,0,0,1,0,0
20110,200327,0,1,0,1,1,0,1,1
20113,200336,1,0,0,1,0,1,1,1
20113,200337,0,0,0,0,0,1,1,1
20113,200338,0,1,1,0,1,1,0,1
20115,200342,1,1,1,1,1,0,1,0
20117,200346,1,0,0,0,0,1,1,1
20117,200347,0,0,0,0,0,1,1,1
20117,200348,0,0,0,0,0,1,1,0
20117,200349,0,0,0,0,0,1,1,1
20117,200350,0,0,0,0,0,1,1,1
20117,200351,0,0,0,0,0,1,1,1
20117,200352,0,0,0,1,0,1,1,1
20117,200353,0,1,1,0,1,1,1,1
20118,200355,1,0,1,0,0,0,1,1
20118,200356,0,0,0,0,0,1,1,1
20118,200357,0,1,0,1,1,0,1,1
20124,200370,1,0,0,0,0,1,1,1
20124,200371,0,0,1,0,0,1,1,1
20124,200372,0,0,0,0,0,1,1,1
20124,200374,0,0,0,0,0,1,1,1
20124,200375,0,1,0,1,1,1,1,1
20126,200377,1,0,1,0,0,1,0,1
20127,200378,1,1,1,0,0,0,0,1
20129,200385,1,1,1,0,0,1,0,0
20132,200391,1,0,0,0,0,1,1,0
20132,200392,0,1,1,1,1,1,1,1
20133,200393,1,0,1,1,0,1,0,0
20133,200394,0,1,0,0,1,1,1,0
20134,200396,1,1,1,1,1,1,0,0
20135,200397,1,0,0,0,0,1,0,1
20135,200398,0,0,1,1,0,1,1,1
20135,200399,0,1,0,0,1,1,1,1
20139,200410,1,0,0,0,0,1,1,1
20139,200411,0,1,1,1,1,0,1,1
20142,200419,1,0,0,0,0,0,1,1
20142,200420,0,0,0,1,0,0,1,1
20142,200421,0,1,1,0,1,0,1,1
