gen_num,num_of_occurr,num_of_unique_res,max_res_in_subset,min_res_in_subset,avg_res_in_subset
188,41072.0,795,190,11,91.88366890380313
189,40036.0,779,192,11,89.56599552572708
190,41310.0,786,187,11,92.41610738255034
191,42358.0,778,188,11,94.76062639821029
192,39700.0,800,187,11,88.81431767337807
193,38310.0,803,187,11,85.70469798657719
194,40346.0,793,187,11,90.25950782997762
195,40453.0,779,188,11,90.49888143176734
196,40679.0,785,189,11,91.00447427293065
197,40673.0,787,189,11,90.9910514541387
198,41349.0,773,191,11,92.50335570469798
199,42051.0,777,191,11,94.0738255033557
200,43335.0,771,192,11,96.94630872483222
