subsetID,Q_peak,Qpeak_reduction,cost,floodedArea,n,rank,distance,subsetID.1,orig_subsetID
d_470294,159.78370666503906,4.8498382568359375,189096.1768694547,78535.96721451,0.0,0,0.0155531281914554,470294.0,d_470294
d_410232,159.7550811767578,4.878463745117188,189911.68926246648,75300.2014976,0.0,0,0.0101181599233115,410232.0,d_410232
d_500131,159.74948120117188,4.884063720703125,197013.9717406958,78156.60873657,0.0,0,0.0167242335041338,500131.0,d_500131
d_420122,159.64491271972656,4.9886322021484375,197823.4142088449,77577.70455709999,0.0,0,0.0300267697689866,420122.0,d_420122
d_500187,159.42559814453125,5.20794677734375,199043.4431674211,77879.2224593,0.0,0,0.0356005304939452,500187.0,d_500187
u_490313,151.6774444580078,12.956100463867188,201525.419885464,96685.971482,0.0,0,0.0280410038321766,490313.0,u_490313
u_480242,151.5270538330078,13.106491088867188,206286.2680465712,86957.81654219999,0.0,0,0.0270843902237204,480242.0,u_480242
d_350216,159.3775177001953,5.256027221679688,211489.7767853783,80241.75102047,0.0,0,0.0262742482884454,350216.0,d_350216
m_460003,158.32936096191406,6.3041839599609375,213536.72524073423,27246.641507,,0,0.0327771191324135,,m_460003
u_420318,151.275390625,13.358154296875,214263.81537595336,111796.295711,0.0,0,0.0416930210126531,420318.0,u_420318
m_440084,158.05746459960938,6.576080322265625,215373.40956121567,29472.0211615,,0,0.0321431565854738,,m_440084
m_400115,157.5093536376953,7.124191284179688,215697.21062727124,43403.1873444,,0,0.0426207364331274,,m_400115
d_490244,159.31414794921875,5.31939697265625,217423.94819790308,77730.35147627,0.0,0,0.0376713141287118,490244.0,d_490244
d_370159,159.05067443847656,5.5828704833984375,221712.4676895137,82293.20729227,0.0,0,0.0379079066206393,370159.0,d_370159
u_470139,150.91505432128906,13.718490600585938,226358.6615601176,119327.25138,0.0,0,0.0362346114513112,470139.0,u_470139
d_390306,158.9991455078125,5.6343994140625,229052.4471503408,71226.27685557,0.0,0,0.0509694770460591,390306.0,d_390306
u_500324,150.71437072753906,13.919174194335938,229755.22646282884,125832.39231799998,0.0,0,0.0450782196853507,500324.0,u_500324
d_470177,158.57260131835938,6.060943603515625,232081.78229757643,65859.49824587001,0.0,0,0.1485720046549433,470177.0,d_470177
m_320146,157.13116455078125,7.50238037109375,232876.23958887483,42075.7278059,,0,0.0340240087508051,,m_320146
d_480172,157.4029541015625,7.2305908203125,239710.0326805569,65971.37998307002,0.0,0,0.1256988706513488,480172.0,d_480172
m_350250,156.8840789794922,7.7494659423828125,240051.5014918077,42821.2126347,,0,0.0389767189686305,,m_350250
m_480079,156.2593231201172,8.374221801757812,246633.3753835003,31970.294887494,,0,0.0485504017480429,,m_480079
d_460032,157.30111694335938,7.332427978515625,248724.0294887488,68906.82770717001,0.0,0,0.0285070748747321,460032.0,d_460032
d_490213,157.20779418945312,7.425750732421875,252483.83234338864,72001.22959757001,0.0,0,0.0720634196632485,490213.0,d_490213
u_500280,150.33999633789062,14.293548583984377,253866.7977373128,113781.097234,0.0,0,0.0440861506175958,500280.0,u_500280
u_340047,150.27500915527344,14.358535766601562,264904.0581845276,118744.062993,0.0,0,0.0273101949467822,340047.0,u_340047
u_500027,149.958740234375,14.6748046875,268329.8864272377,119848.9263109,0.0,0,0.0184002476783166,500027.0,u_500027
u_430290,149.95724487304688,14.676300048828123,270567.5717123104,120565.7102499,0.0,0,0.0143988233977437,430290.0,u_430290
u_470070,149.79005432128906,14.843490600585938,278121.67312639847,124642.1059739,0.0,0,0.0433140553207878,470070.0,u_470070
m_470143,156.0448760986328,8.588668823242188,279625.15944893926,46491.2542347,,0,0.0515329574956443,,m_470143
m_490354,155.3866424560547,9.246902465820312,290281.600249138,52425.71254089999,,0,0.0500363165814984,,m_490354
d_500220,156.9447784423828,7.6887664794921875,294245.1089495032,78601.22508817,0.0,0,0.0671798447392633,500220.0,d_500220
d_470149,156.88449096679688,7.749053955078125,295778.21093221114,80486.79467607,0.0,0,0.0346626324299571,470149.0,d_470149
u_490235,149.46701049804688,15.166534423828123,301175.6850801893,140328.48106957998,0.0,0,0.0347260872743524,490235.0,u_490235
u_500044,149.42349243164062,15.210052490234377,304435.23042665253,128319.76942,0.0,0,0.0172043370035683,500044.0,u_500044
u_430059,149.18881225585938,15.444732666015623,307738.6487539141,131072.831965,0.0,0,0.0420498353380431,430059.0,u_430059
d_480174,156.6882781982422,7.9452667236328125,307923.2217844132,81627.46130786999,0.0,0,0.042636673021746,480174.0,d_480174
d_500327,156.61537170410156,8.018173217773438,317082.32300619537,82711.20743016999,0.0,0,0.1278702742825493,500327.0,d_500327
u_470047,148.70057678222656,15.932968139648438,317596.9146927105,138666.02720399998,0.0,0,0.0518788393501746,470047.0,u_470047
m_430283,155.1973114013672,9.436233520507812,321984.9348805279,52649.53409749999,,0,0.0286928361014364,,m_430283
m_500016,155.02015686035156,9.613388061523438,325441.0235918395,54872.6828537,,0,0.0365429426593681,,m_500016
u_480341,148.50390625,16.129638671875,337849.0443441761,139367.92778568,0.0,0,0.0296497548426327,480341.0,u_480341
u_460356,148.36477661132812,16.268768310546875,338534.31739345903,126982.647781,0.0,0,0.0309922059243501,460356.0,u_460356
m_490225,154.59983825683594,10.033706665039062,354878.7289277752,59864.5476878,,0,0.0413783771069989,,m_490225
u_450248,148.0843048095703,16.549240112304688,355137.0970495016,140978.74067299996,0.0,0,0.0457141684402532,450248.0,u_450248
m_460060,154.33682250976562,10.296722412109377,362068.9253972604,61047.0794537,,0,0.0298101418330786,,m_460060
u_500209,147.78451538085938,16.849029541015625,366625.52049532096,154372.0559439,0.0,0,0.0597362223344249,500209.0,u_500209
m_410169,154.00088500976562,10.632659912109377,371569.0908568436,66999.738521,,0,0.0583604664802471,,m_410169
m_490090,152.94921875,11.684326171875,375195.8517420663,56634.1466884,,0,0.0568842249338924,,m_490090
u_460252,147.3578338623047,17.275711059570312,393974.3851709992,168460.3831639,0.0,0,0.0562885881865418,460252.0,u_460252
m_500091,152.76319885253906,11.870346069335938,394803.0706667149,58250.480281200005,,0,0.0385976579356953,,m_500091
u_470189,147.08473205566406,17.548812866210938,402199.9600994587,123178.55078,0.0,0,0.0338579254736152,470189.0,u_470189
u_470111,146.8257293701172,17.807815551757812,407921.392063142,129789.248107,0.0,0,0.0293856249119382,470111.0,u_470111
m_480072,152.3171844482422,12.316360473632812,409851.2798680057,57141.612035790014,,0,0.0402631417418796,,m_480072
u_500193,146.6462860107422,17.987258911132812,415871.1199902212,133307.911848,0.0,0,0.0297177429155151,500193.0,u_500193
m_500186,152.01205444335938,12.621490478515623,422604.0819482802,58332.58159585999,,0,0.0576826429218276,,m_500186
u_430332,146.60154724121094,18.031997680664062,436438.9603226872,210997.02108698,0.0,0,0.0304582022593892,430332.0,u_430332
d_500109,156.57554626464844,8.057998657226562,438866.78564528783,110668.7522899,0.0,0,0.1251545006726136,500109.0,d_500109
m_450322,151.1531219482422,13.480422973632812,441684.5823770817,79406.72865390002,,0,0.0490537142202183,,m_450322
d_500052,156.47523498535156,8.158309936523438,442367.3495450314,115456.71160619995,0.0,0,0.0340658282059574,500052.0,d_500052
d_490055,156.32322692871094,8.310317993164062,452286.6656739965,119164.14419144002,0.0,0,0.1155128597142695,490055.0,d_490055
m_500283,151.06976318359375,13.56378173828125,454006.2992791952,75413.45611150001,,0,0.0256815918558441,,m_500283
u_500293,146.57901000976562,18.05453491210937,455989.32109186,235383.7339433,0.0,0,0.0324736776302945,500293.0,u_500293
u_470172,146.2820587158203,18.351486206054688,462607.1332087946,220658.86760998,0.0,0,0.0301025421381867,470172.0,u_470172
m_490240,150.77108764648438,13.862457275390623,468243.53906025714,82433.21873390001,,0,0.0274010872502274,,m_490240
d_470233,155.4311065673828,9.202438354492188,469665.8466992274,115591.57657538002,0.0,0,0.1293904333187555,470233.0,d_470233
u_500095,146.13052368164062,18.50302124023437,470038.007694938,138990.05057649998,0.0,0,0.0245011700936584,500095.0,u_500095
m_470099,150.56568908691406,14.067855834960938,473573.38235421525,79445.68527660001,,0,0.0456374039012178,,m_470099
m_490330,149.74815368652344,14.885391235351562,484160.2686226255,80966.65991910001,,0,0.0617252402937112,,m_490330
u_500023,146.1102294921875,18.5233154296875,486990.0921078032,219675.7916113,0.0,0,0.0234308498806608,500023.0,u_500023
u_480264,145.9542694091797,18.679275512695312,492556.18339381047,140206.6399672,0.0,0,0.0229102658208389,480264.0,u_480264
d_470071,155.25575256347656,9.377792358398438,492723.3316047314,129555.44935448,0.0,0,0.0385330117329221,470071.0,d_470071
d_470141,155.23658752441406,9.396957397460938,493621.9560568268,121163.48625178,0.0,0,0.0159646026540235,470141.0,d_470141
u_500015,145.7660369873047,18.867507934570312,497490.4308723016,144832.14060319998,0.0,0,0.0248798400705846,500015.0,u_500015
u_470219,145.61366271972656,19.01988220214844,506182.6365905494,133319.744668,0.0,0,0.0226562965109291,470219.0,u_470219
d_480053,155.222900390625,9.41064453125,507258.4096447364,123716.16785317,0.0,0,0.0471184050449271,480053.0,d_480053
u_440312,145.46493530273438,19.168609619140625,510506.56860583567,137099.116655,0.0,0,0.0301475240027003,440312.0,u_440312
