subsetID,Q_peak,Qpeak_reduction,cost,floodedArea,n,rank,distance,subsetID.1,orig_subsetID
_500168,143.8570098876953,20.776535034179688,633298.3168974567,164787.1599422,0.0,0.0,0.033629898011359974,500118.0,u_500118
_500174,143.6600799560547,20.973464965820312,659075.0976549073,170589.16751419997,0.0,0.0,0.026423067445527918,490244.0,u_490244
_500180,143.6034393310547,21.030105590820312,674678.2628550439,195225.8104322,0.0,0.0,0.019815270712782863,380255.0,u_380255
_500182,143.33462524414062,21.29891967773437,677422.1093340891,146254.46454850002,0.0,0.0,0.02095197351554698,470268.0,u_470268
_500185,143.20309448242188,21.430450439453125,688806.7764913784,159934.9552185,0.0,0.0,0.014320844242131179,480259.0,u_480259
_500188,143.17990112304688,21.453643798828125,698227.9825289058,162583.03493959998,0.0,0.0,0.007296908205727376,500294.0,u_500294
_500190,143.17184448242188,21.461700439453125,703869.517274332,154721.8919405,0.0,0.0,0.012326064260648886,490229.0,u_490229
_500192,143.05795288085938,21.575592041015625,717188.0777299886,179642.65909919998,0.0,0.0,0.01155855333425288,500030.0,u_500030
_500194,143.02163696289062,21.61190795898437,718287.6337856706,176588.3062492,0.0,0.0,0.009477364391146721,480257.0,u_480257
_500196,142.8506317138672,21.78291320800781,721119.7135399845,197311.7959461,0.0,0.0,0.0208245407406972,490171.0,u_490171
_500201,142.7955322265625,21.8380126953125,748437.8933606846,194166.5087363,0.0,0.0,0.0186994790779324,500109.0,u_500109
_500202,142.65785217285156,21.97569274902344,749154.4500587592,176442.4089255,0.0,0.0,0.019794104769081108,490156.0,u_490156
_500205,142.49880981445312,22.134735107421875,769426.5253288129,185356.3552314,0.0,0.0,0.017465354837250126,490288.0,u_490288
_500206,142.44281005859375,22.19073486328125,772058.8641650937,190351.126233,0.0,0.0,0.010394011645123775,500145.0,u_500145
_500208,142.39305114746094,22.240493774414062,785140.4575924585,163739.218039,0.0,0.0,0.014871355170219085,500059.0,u_500059
_500210,142.2418670654297,22.391677856445312,789888.9052906978,189569.9219312,0.0,0.0,0.025598903985898716,460071.0,u_460071
_500213,142.1217498779297,22.511795043945312,822825.8426986295,202077.434397,0.0,0.0,0.02359927932431175,500234.0,u_500234
_500216,141.9829864501953,22.650558471679688,823808.1523481268,223509.447629,0.0,0.0,0.008548758465190915,490183.0,u_490183
_500217,141.97418212890625,22.65936279296875,830069.947983227,232954.937809,0.0,0.0,0.01239916589497122,500110.0,u_500110
_500219,141.89105224609375,22.74249267578125,845762.4813339924,219296.678469,0.0,0.0,0.02514080406321601,480261.0,u_480261
_500222,141.79095458984375,22.84259033203125,874883.1536297044,226268.8355483,0.0,0.0,0.020124364664725055,490077.0,u_490077
_500223,141.77633666992188,22.857208251953125,884629.6035359505,197079.051038,0.0,0.0,0.010749960408855126,460354.0,u_460354
_500225,141.67608642578125,22.95745849609375,890620.7132916248,223642.1858313,0.0,0.0,0.01919440786480211,500136.0,u_500136
_500228,141.62355041503906,23.009994506835938,917634.3178295938,206770.81957,0.0,0.0,0.02118740619746655,500134.0,u_500134
_500231,141.499267578125,23.13427734375,926286.543520278,209712.663793,0.0,0.0,0.012086814658817016,480080.0,u_480080
