subsetID,Q_peak,Qpeak_reduction,cost,floodedArea
_010108,158.7054901123047,5.9280548095703125,519398.15568871924,63774.754539099995
_010109,160.00119018554688,4.632354736328125,693599.918395967,110671.57079637
_010110,156.7401123046875,7.8934326171875,1343587.1758165716,158915.80108098997
_010111,163.10089111328125,1.53265380859375,408194.7469923082,35767.11625449
_010112,156.09564208984375,8.53790283203125,1175405.2002873293,143177.84169412003
_010113,152.3828125,12.250732421875,1475159.6655468976,172296.79914165
_010114,160.72003173828125,3.91351318359375,446535.03982148867,49739.46885449
_010115,149.54196166992188,15.091583251953125,1838578.6679051758,213466.98886317
_010116,159.91236877441406,4.7211761474609375,759850.4596541957,109704.13565830002
_010117,147.47274780273438,17.160797119140625,2100842.9544745805,266760.42761550006
_010118,149.83648681640625,14.79705810546875,2217031.923784122,260009.78943266
_010119,158.04559326171875,6.58795166015625,613579.4867184594,77502.1959406
_010120,157.83360290527344,6.7999420166015625,730705.6947662719,84537.20671469
_010121,153.57598876953125,11.05755615234375,1894513.2040237756,246045.28719149
_010122,155.2318878173828,9.401657104492188,1233504.590118022,178331.79277400003
_010123,151.7991943359375,12.8343505859375,1591762.2410375355,226349.58340239406
_010124,157.54188537597656,7.0916595458984375,721986.7691480271,85194.74201489001
_010125,150.30191040039062,14.331634521484375,2041484.179041823,242732.66500175005
_010126,150.3783416748047,14.255203247070312,1945067.4165131634,238625.11403784002
_010127,147.70004272460938,16.933502197265625,2098957.0560451634,263056.73626316
_010128,157.81385803222656,6.8196868896484375,718947.6239295617,102503.34686
_010129,156.05398559570312,8.579559326171875,905582.4974486836,115993.77322386
_010130,163.1389923095703,1.4945526123046875,238327.1926574264,30026.6363244
_010131,161.89141845703125,2.74212646484375,392762.51995624934,43939.266141464
_010132,159.78346252441406,4.8500823974609375,768997.0821113236,107108.943244
_010133,154.6244659423828,10.009078979492188,1287640.8610964078,178365.05453790998
_010134,163.2308349609375,1.4027099609375,311503.60784044384,28436.3417515
_010135,152.9253387451172,11.708206176757812,1825825.832700087,227193.61783296
_010136,153.47817993164062,11.155364990234375,1241181.834985986,174827.89444489998
_010137,159.6148681640625,5.0186767578125,671094.8231177082,69648.7787743
_010138,155.6956024169922,8.937942504882812,1141842.0293788514,147368.01826116003
_010139,157.08705139160156,7.5464935302734375,765345.0166745565,99918.02844919998
_010140,156.1380157470703,8.495529174804688,1057487.2898204857,124262.08460246
_010141,155.00692749023438,9.626617431640625,1086079.117203862,130630.865238294
_010142,160.8929443359375,3.7406005859375,258621.10429132014,28594.750947499997
_010143,155.64671325683594,8.986831665039062,1233933.1539292156,141017.28298679402
_010144,158.93826293945312,5.695281982421875,519313.80334383703,62998.26084929999
_010145,161.61659240722656,3.0169525146484375,539611.0992241611,89535.69828907
_010146,150.3824005126953,14.251144409179688,2266424.7633738685,262122.43227589998
_010147,152.04408264160156,12.589462280273438,1661010.1885686999,206188.09997303397
_010148,145.8977508544922,18.735794067382812,2348886.332686329,299427.64972809993
_010149,154.2208709716797,10.412673950195312,1355352.2432076465,154216.5463929
_010150,161.5216522216797,3.1118927001953125,401811.4852024599,53633.663480393996
_010151,162.51577758789062,2.117767333984375,368617.3728391393,47312.074918194
_010152,160.091796875,4.541748046875,917674.907054127,108576.16099490001
_010153,154.86590576171875,9.76763916015625,1340105.9866395025,148653.38607100002
_010154,154.64236450195312,9.991180419921875,1516108.0497912627,180289.20592789
_010155,153.6668243408203,10.966720581054688,1289766.3115292017,181451.2263072
_010156,158.11419677734375,6.51934814453125,1130781.8169210043,156395.8047411
_010157,147.4400177001953,17.193527221679688,2243802.4430750175,291529.076773834
_010158,154.94625854492188,9.687286376953125,1200176.9379448546,160123.62599069002
_010159,164.0994110107422,0.5341339111328125,29315.78497533902,3693.5523289000002
_010160,157.5465850830078,7.0869598388671875,785336.0022000228,89001.86004679
_010161,155.7117919921875,8.9217529296875,1129225.8707761033,128932.771605794
_010162,157.61256408691406,7.0209808349609375,800625.0060595251,94497.29692999998
_010163,154.78668212890625,9.84686279296875,1140975.9400506003,154313.03452128998
_010164,163.06309509277344,1.5704498291015625,267785.8303599473,36363.4251151
_010165,161.5763397216797,3.0572052001953125,621110.5357155169,77408.8401611
_010166,149.01353454589844,15.620010375976562,2045847.6769944052,265260.22187133395
_010167,156.05860900878906,8.574935913085938,1186098.6070914112,156336.67840460004
_010168,152.92198181152344,11.711563110351562,1332213.502636432,194261.70196556
_010169,154.1791534423828,10.454391479492188,1735559.079136307,245440.4924857
_010170,161.75856018066406,2.8749847412109375,444553.1604562046,50435.086782700004
_010171,163.48336791992188,1.150177001953125,82334.45472359605,11347.735432500001
_010172,160.64236450195312,3.991180419921875,463100.9752892916,51480.914974499996
_010173,159.9415740966797,4.6919708251953125,665016.7872865881,90035.4221287
_010174,164.10870361328125,0.52484130859375,76097.07644636814,6997.9264060000005
_010175,153.14588928222656,11.487655639648438,1310770.2332077674,158826.5079428
_010176,150.4694366455078,14.164108276367188,2275213.1833740976,263354.71640224
_010177,159.94017028808594,4.6933746337890625,677211.6099311168,90709.7556868
_010178,160.75741577148438,3.876129150390625,634650.5248608834,108091.78640427
_010179,151.69424438476562,12.939300537109375,1842205.9010099114,239477.22564666998
_010180,162.08706665039062,2.546478271484375,513447.4222082115,45749.787045
_010181,163.93116760253906,0.7023773193359375,71226.66989253924,6628.154160700001
_010182,163.3470916748047,1.2864532470703125,366615.0909903794,39183.722901199995
_010183,152.850830078125,11.78271484375,1518879.1933854322,191893.38673936
_010184,153.49693298339844,11.136611938476562,1576118.2624868776,212210.276238
_010185,158.71099853515625,5.92254638671875,673224.651162824,84959.02011910001
_010186,150.27462768554688,14.358917236328125,2059958.958358389,256801.97333678
_010187,147.14288330078125,17.49066162109375,2105765.106530132,274868.482686234
_010188,153.06985473632812,11.563690185546875,1804054.7223926187,218068.9070364
_010189,159.35284423828125,5.28070068359375,709159.6192645135,71855.2637673
_010190,147.87600708007812,16.757537841796875,2063532.2433749859,263794.159641834
_010191,162.43325805664062,2.200286865234375,328813.0613525318,32728.3822546
_010192,160.4254608154297,4.2080841064453125,679506.962781762,87944.48608429999
_010193,154.47802734375,10.155517578125,1320424.453065085,161735.620876464
_010194,154.20504760742188,10.428497314453125,1226478.807554799,180146.87120960004
_010195,158.79595947265625,5.83758544921875,500205.0043087104,72537.70072549999
_010196,152.64236450195312,11.991180419921875,1524074.1897544835,200368.31030975998
_010197,150.97137451171875,13.66217041015625,1940028.2746928118,251469.52542138397
_010198,158.9358673095703,5.6976776123046875,843567.6655872874,100898.88038146
_010199,150.22120666503906,14.412338256835938,1689916.0569438124,242843.42309850003
_010200,154.19956970214844,10.433975219726562,1229892.2236045825,139471.911379294
_010201,156.0890655517578,8.544479370117188,1120695.5523299414,146392.60945336
_010202,162.89334106445312,1.740203857421875,168920.4887289257,24692.541855500003
_010203,157.03514099121094,7.5984039306640625,873161.5529849294,111402.69691890001
_010204,163.38401794433594,1.2495269775390625,165152.63259394758,19689.979379300003
_010205,159.934326171875,4.69921875,562867.0320463915,55890.91332524999
_010206,160.57411193847656,4.0594329833984375,163521.33476717668,22398.6533231
_010207,152.5630340576172,12.070510864257812,1733661.011466607,196870.93198886
_010208,160.0214385986328,4.6121063232421875,703756.9055423352,96846.7033728
_010209,152.86993408203125,11.76361083984375,1961557.5338962474,235961.48076099998
_010210,160.85067749023438,3.782867431640625,412519.2295473082,47292.076248699996
_010211,152.44830322265625,12.18524169921875,1624253.5949079476,228545.55799880004
_010212,144.98095703125,19.652587890625,2975986.4720346797,379710.04301365
_010213,147.91709899902344,16.716445922851562,2092481.1176970403,279840.57863233396
_010214,160.08169555664062,4.551849365234375,651142.9538032913,84097.6815224
_010215,153.979736328125,10.65380859375,1552148.8540957854,199340.1809124
