gen_num,diversity_within,total,num_of_new_from_prev_1,num_of_lost_from_prev_1,num_of_kept_from_prev_1,num_of_inherited_from_prev_1,perc_new_from_prev_1,perc_lost_from_prev_1,perc_inherited_from_prev_1
41,0.0169491525423728,384,23,41,0,361.0,5.989583333333333,10.677083333333334,94.01041666666667
42,0.01776684433511,390,28,22,0,362.0,7.17948717948718,5.641025641025641,92.82051282051282
43,0.0166759788541711,388,21,23,0,367.0,5.412371134020619,5.927835051546392,94.58762886597938
44,0.0176763027066838,384,22,26,0,362.0,5.729166666666667,6.770833333333333,94.27083333333333
45,0.016674565901159,387,23,20,0,364.0,5.943152454780361,5.167958656330749,94.05684754521964
46,0.0190013469309216,395,28,20,0,367.0,7.0886075949367084,5.063291139240507,92.9113924050633
47,0.0185537583254043,390,17,22,0,373.0,4.358974358974359,5.641025641025641,95.64102564102564
48,0.0180970660817109,396,28,22,0,368.0,7.070707070707071,5.555555555555555,92.92929292929293
49,0.0187565959896383,391,20,25,0,371.0,5.115089514066496,6.3938618925831205,94.8849104859335
50,0.0176728403789056,375,23,39,0,352.0,6.133333333333334,10.4,93.86666666666666
51,0.016308706888869,366,23,32,0,343.0,6.284153005464481,8.743169398907105,93.71584699453553
52,0.0181076509800019,364,24,26,0,340.0,6.593406593406593,7.142857142857143,93.4065934065934
53,0.0150528716566452,363,31,32,0,332.0,8.539944903581267,8.81542699724518,91.46005509641873
54,0.0156866181754447,358,27,32,0,331.0,7.5418994413407825,8.938547486033519,92.45810055865921
55,0.0160595200290341,354,26,30,0,328.0,7.344632768361582,8.474576271186441,92.65536723163842
56,0.0160633585395319,359,34,29,0,325.0,9.470752089136491,8.07799442896936,90.5292479108635
57,0.0167360104716937,358,34,35,0,324.0,9.497206703910615,9.776536312849162,90.50279329608938
58,0.016186889068245,361,34,31,0,327.0,9.418282548476455,8.587257617728532,90.58171745152355
59,0.0161908627610156,359,35,37,0,324.0,9.749303621169917,10.30640668523677,90.25069637883009
60,0.0146634916656222,351,28,36,0,323.0,7.977207977207978,10.256410256410257,92.02279202279202
61,0.0145783279716577,358,36,29,0,322.0,10.05586592178771,8.100558659217876,89.94413407821229
62,0.0156418070993187,349,40,49,0,309.0,11.461318051575931,14.040114613180515,88.53868194842407
63,0.015123302602298,333,27,43,0,306.0,8.108108108108109,12.912912912912914,91.89189189189189
64,0.0149512459371614,345,45,33,0,300.0,13.043478260869565,9.565217391304348,86.95652173913044
65,0.0156769812696531,344,39,40,0,305.0,11.337209302325581,11.627906976744185,88.66279069767442
66,0.0150238022448355,344,40,40,0,304.0,11.627906976744185,11.627906976744185,88.37209302325581
67,0.0146147032772364,330,31,45,0,299.0,9.393939393939394,13.636363636363637,90.60606060606061
68,0.0163028460900801,354,48,24,0,306.0,13.559322033898304,6.779661016949152,86.44067796610169
69,0.0161319722931097,354,31,31,0,323.0,8.757062146892656,8.757062146892656,91.24293785310735
70,0.0144597282068279,349,36,41,0,313.0,10.315186246418339,11.74785100286533,89.68481375358166
71,0.0147975077881619,342,35,42,0,307.0,10.23391812865497,12.280701754385966,89.76608187134502
72,0.015049504950495,342,38,38,0,304.0,11.11111111111111,11.11111111111111,88.88888888888889
73,0.0160080497621661,350,44,36,0,306.0,12.571428571428571,10.285714285714286,87.42857142857143
74,0.0157501820830298,346,31,35,0,315.0,8.959537572254336,10.115606936416185,91.04046242774567
75,0.0148267315970259,341,34,39,0,307.0,9.970674486803519,11.436950146627566,90.02932551319648
76,0.014407030292788,341,33,33,0,308.0,9.67741935483871,9.67741935483871,90.3225806451613
77,0.0152755766860362,347,37,31,0,310.0,10.662824207492795,8.93371757925072,89.33717579250721
78,0.016350433356758,349,42,40,0,307.0,12.034383954154729,11.461318051575931,87.96561604584527
79,0.0161633347511697,342,33,40,0,309.0,9.649122807017545,11.695906432748538,90.35087719298245
80,0.0166984033982715,342,38,38,0,304.0,11.11111111111111,11.11111111111111,88.88888888888889
81,0.017089360015851,345,35,32,0,310.0,10.144927536231885,9.27536231884058,89.85507246376811
82,0.0158905116193625,346,39,38,0,307.0,11.271676300578035,10.982658959537572,88.72832369942196
83,0.0163926681783824,347,35,34,0,312.0,10.086455331412104,9.798270893371757,89.9135446685879
84,0.0155136646522954,344,37,40,0,307.0,10.755813953488373,11.627906976744185,89.24418604651163
85,0.0146429674061659,332,40,52,0,292.0,12.048192771084338,15.662650602409638,87.95180722891567
