gen,subsetID,Qpeak_reduction,cost,rank,subsetID,created_in_gen
2,_020212,4.6525421142578125,667025.2495967386,0,_020212,2
2,_020179,5.3975830078125,670677.1158138274,0,_020179,2
2,_000291,5.3980865478515625,679923.8901217284,0,_000291,0
3,_030075,0.1221466064453125,17427.681186267637,0,_030075,3
3,_000122,0.6562347412109375,19558.187445959626,0,_000122,0
3,_030084,1.066864013671875,30810.52090352571,0,_030084,3
3,_030136,1.0714111328125,43230.30872819766,0,_030136,3
3,_030021,1.090423583984375,48794.52107769854,0,_030021,3
3,_020006,1.4835968017578125,58335.5889480604,0,_020006,2
3,_030012,1.5898284912109375,82045.17567202452,0,_030012,3
3,_000207,1.745452880859375,91034.25209018092,0,_000207,0
3,_010063,1.8411712646484373,99753.34749782672,0,_010063,1
3,_030096,2.1869659423828125,115403.14102384764,0,_030096,3
3,_000275,2.2568511962890625,148639.5920174499,0,_000275,0
3,_030048,2.380950927734375,166067.27320371754,0,_030048,3
3,_030090,2.482269287109375,227385.24584907168,0,_030090,3
3,_020002,2.4833526611328125,290984.4366157919,0,_020002,2
3,_030089,2.899169921875,297170.8539235132,0,_030089,3
3,_020086,3.2221221923828125,306348.3820642833,0,_020086,2
3,_020070,3.226593017578125,329128.6061882109,0,_020070,2
3,_000366,3.228057861328125,333845.5442856466,0,_000366,0
3,_030059,3.257659912109375,338646.8934726947,0,_030059,3
3,_020060,3.291168212890625,342835.8850225828,0,_020060,2
3,_030176,3.438720703125,352087.0536919523,0,_030176,3
3,_030125,3.627456665039064,376015.5087255213,0,_030125,3
3,_010203,4.57391357421875,379921.7942525308,0,_010203,1
3,_030207,4.594757080078125,390748.418151577,0,_030207,3
3,_030210,4.6185302734375,594739.6465726782,0,_030210,3
3,_030148,5.3935546875,666425.4936664525,0,_030148,3
3,_020179,5.3975830078125,670677.1158138274,0,_020179,2
3,_000291,5.3980865478515625,679923.8901217284,0,_000291,0
3,_030134,5.643463134765625,703761.0574550325,0,_030134,3
4,_000122,0.6562347412109375,19558.187445959626,0,_000122,0
4,_030084,1.066864013671875,30810.52090352571,0,_030084,3
4,_040175,1.217071533203125,37736.15549608087,0,_040175,4
4,_040152,1.26129150390625,53984.59628428331,0,_040152,4
4,_040056,1.3601226806640625,57076.96507945687,0,_040056,4
4,_020006,1.4835968017578125,58335.5889480604,0,_020006,2
4,_040062,1.7704925537109375,61788.78354315048,0,_040062,4
4,_040017,1.833709716796875,72139.8856521476,0,_040017,4
4,_040073,2.149276733398437,77893.77639402002,0,_040073,4
4,_030096,2.1869659423828125,115403.14102384764,0,_030096,3
4,_040098,2.195068359375,148349.38578111705,0,_040098,4
4,_000275,2.2568511962890625,148639.5920174499,0,_000275,0
4,_040155,2.402923583984375,153148.83979065955,0,_040155,4
4,_040102,2.4364166259765625,176440.62010708902,0,_040102,4
4,_040133,2.5238800048828125,178431.77830744412,0,_040133,4
4,_040209,2.9288330078125,179650.99544810966,0,_040209,4
4,_040112,3.2038116455078125,287444.08017594845,0,_040112,4
4,_020086,3.2221221923828125,306348.3820642833,0,_020086,2
4,_020070,3.226593017578125,329128.6061882109,0,_020070,2
4,_040198,3.26580810546875,332954.6855236545,0,_040198,4
4,_020060,3.291168212890625,342835.8850225828,0,_020060,2
4,_030176,3.438720703125,352087.0536919523,0,_030176,3
4,_040148,3.620132446289064,360477.1395113578,0,_040148,4
4,_040159,4.571197509765625,362728.0420210855,0,_040159,4
4,_040096,4.58612060546875,378672.76016618847,0,_040096,4
4,_030207,4.594757080078125,390748.418151577,0,_030207,3
4,_040208,4.7149505615234375,422010.77108361153,0,_040208,4
4,_040079,5.0093994140625,638603.4010341424,0,_040079,4
4,_040109,5.39727783203125,662618.5014532037,0,_040109,4
4,_020179,5.3975830078125,670677.1158138274,0,_020179,2
4,_000291,5.3980865478515625,679923.8901217284,0,_000291,0
4,_040180,5.986602783203125,692320.7416441465,0,_040180,4
5,_000122,0.6562347412109375,19558.187445959626,0,_000122,0
5,_030084,1.066864013671875,30810.52090352571,0,_030084,3
5,_040175,1.217071533203125,37736.15549608087,0,_040175,4
