gen_num,diversity_within,total,num_of_new_from_prev_1,num_of_lost_from_prev_1,num_of_kept_from_prev_1,num_of_inherited_from_prev_1,perc_new_from_prev_1,perc_lost_from_prev_1,perc_inherited_from_prev_1
69,0.0169679830320169,336,2,81,0,334.0,0.5952380952380952,24.107142857142858,99.4047619047619
70,0.0159790683549035,342,19,13,0,323.0,5.555555555555555,3.801169590643275,94.44444444444444
71,0.0154174573055028,325,14,31,0,311.0,4.3076923076923075,9.538461538461538,95.6923076923077
72,0.0175521011274342,411,93,7,0,318.0,22.62773722627737,1.70316301703163,77.37226277372262
73,0.016072542340354,335,10,86,0,325.0,2.985074626865672,25.671641791044777,97.01492537313433
74,0.0153712826126619,337,25,23,0,312.0,7.4183976261127595,6.824925816023739,92.58160237388724
75,0.0138724911452184,329,24,32,0,305.0,7.2948328267477205,9.72644376899696,92.70516717325228
76,0.0163927790820043,405,85,9,0,320.0,20.987654320987655,2.2222222222222223,79.01234567901234
77,0.0144730120892218,340,5,70,0,335.0,1.4705882352941178,20.58823529411765,98.52941176470588
78,0.0141286609980245,329,7,18,0,322.0,2.127659574468085,5.47112462006079,97.87234042553192
79,0.0132830370400096,331,15,13,0,316.0,4.531722054380665,3.9274924471299095,95.46827794561933
80,0.0152646363098758,413,85,3,0,328.0,20.581113801452783,0.7263922518159807,79.41888619854721
81,0.0134291195559002,329,6,90,0,323.0,1.8237082066869301,27.35562310030395,98.17629179331307
82,0.0147776692997248,333,17,13,0,316.0,5.105105105105105,3.903903903903904,94.89489489489489
83,0.0149920849241083,322,14,25,0,308.0,4.3478260869565215,7.763975155279503,95.65217391304348
84,0.0186565457954181,408,89,3,0,319.0,21.813725490196077,0.7352941176470589,78.18627450980392
85,0.0129201260933268,291,2,119,0,289.0,0.6872852233676976,40.893470790378004,99.3127147766323
86,0.0136024784587084,281,17,27,0,264.0,6.049822064056939,9.608540925266905,93.95017793594306
87,0.0135629810399849,289,27,19,0,262.0,9.342560553633218,6.57439446366782,90.65743944636678
88,0.0188484621155288,402,122,9,0,280.0,30.34825870646766,2.2388059701492535,69.65174129353234
89,0.0141104591960432,291,3,114,0,288.0,1.0309278350515463,39.175257731958766,98.96907216494846
90,0.0127480158730158,257,25,59,0,232.0,9.727626459143968,22.957198443579767,90.27237354085604
91,0.012531328320802,260,31,28,0,229.0,11.923076923076923,10.76923076923077,88.07692307692308
92,0.0181291822884533,382,138,16,0,244.0,36.12565445026178,4.18848167539267,63.87434554973822
93,0.0122696387544605,251,8,139,0,243.0,3.187250996015936,55.37848605577689,96.81274900398407
94,0.0120686312524234,249,24,26,0,225.0,9.63855421686747,10.441767068273093,90.36144578313252
95,0.0127367105642603,265,40,24,0,225.0,15.09433962264151,9.056603773584905,84.90566037735849
96,0.0179576038525586,399,149,15,0,250.0,37.34335839598997,3.7593984962406015,62.65664160401003
97,0.011511758118701,257,10,152,0,247.0,3.8910505836575875,59.143968871595334,96.10894941634241
98,0.0116252667907906,256,31,32,0,225.0,12.109375,12.5,87.890625
99,0.0114025620571535,243,20,33,0,223.0,8.23045267489712,13.580246913580247,91.76954732510288
100,0.0170666666666666,384,150,9,0,234.0,39.0625,2.34375,60.9375
101,0.0118767084550853,252,9,141,0,243.0,3.5714285714285716,55.95238095238095,96.42857142857143
