gen_num,diversity_within,total,num_of_new_from_prev_1,num_of_lost_from_prev_1,num_of_inherited_from_prev_1,perc_new_from_prev_1,perc_lost_from_prev_1,perc_inherited_from_prev_1
21,0.031559405940594,306,0,15,306.0,0.0,4.901960784313726,100.0
22,0.0259862778730703,303,9,12,294.0,2.9702970297029703,3.9603960396039604,97.02970297029702
23,0.0278038699981213,296,2,9,294.0,0.6756756756756757,3.0405405405405403,99.32432432432432
24,0.0266139657444005,303,18,11,285.0,5.9405940594059405,3.6303630363036303,94.05940594059406
25,0.0283117129059748,299,3,7,296.0,1.0033444816053512,2.3411371237458196,98.99665551839465
26,0.0262730227518959,291,0,8,291.0,0.0,2.7491408934707904,100.0
27,0.0272448196469685,284,7,14,277.0,2.464788732394366,4.929577464788732,97.53521126760563
28,0.0265182369445198,293,24,15,269.0,8.19112627986348,5.1194539249146755,91.80887372013652
29,0.0285146547441629,287,3,9,284.0,1.0452961672473868,3.1358885017421603,98.95470383275261
30,0.0254181852163349,272,0,15,272.0,0.0,5.514705882352941,100.0
31,0.0297470415807187,274,4,2,270.0,1.4598540145985401,0.7299270072992701,98.54014598540147
32,0.0285825773095307,293,22,3,271.0,7.508532423208191,1.023890784982935,92.4914675767918
33,0.030915703893881,289,4,8,285.0,1.3840830449826989,2.7681660899653977,98.6159169550173
34,0.027390813253012,291,4,2,287.0,1.3745704467353952,0.6872852233676976,98.62542955326461
35,0.0286155429747812,278,0,13,278.0,0.0,4.676258992805756,100.0
36,0.0304985947746434,293,21,6,272.0,7.167235494880546,2.04778156996587,92.83276450511946
37,0.0307708802401629,287,1,7,286.0,0.34843205574912894,2.4390243902439024,99.65156794425087
38,0.0301555390963919,285,8,10,277.0,2.807017543859649,3.508771929824561,97.19298245614036
39,0.0273972602739726,278,7,14,271.0,2.5179856115107913,5.0359712230215825,97.4820143884892
40,0.0281917418130042,297,29,10,268.0,9.764309764309765,3.367003367003367,90.23569023569024
41,0.0286033066233897,282,2,17,280.0,0.7092198581560284,6.028368794326241,99.29078014184397
42,0.0268404162209471,276,2,8,274.0,0.7246376811594203,2.898550724637681,99.27536231884058
43,0.0276002029426686,272,1,5,271.0,0.36764705882352944,1.838235294117647,99.63235294117646
44,0.02876039683335,287,18,3,269.0,6.2717770034843205,1.0452961672473868,93.72822299651568
45,0.0284704694598687,282,1,6,281.0,0.3546099290780142,2.127659574468085,99.64539007092199
46,0.0261510128913443,284,3,1,281.0,1.056338028169014,0.352112676056338,98.94366197183099
47,0.0294552364864864,279,4,9,275.0,1.4336917562724014,3.225806451612903,98.5663082437276
48,0.0272176507821683,301,25,3,276.0,8.305647840531561,0.9966777408637874,91.69435215946844
49,0.0280223421376502,296,2,7,294.0,0.6756756756756757,2.364864864864865,99.32432432432432
50,0.0285243538255586,277,4,23,273.0,1.444043321299639,8.303249097472925,98.55595667870035
51,0.0281486080927248,272,3,8,269.0,1.1029411764705883,2.9411764705882355,98.8970588235294
52,0.0283036909542933,296,29,5,267.0,9.797297297297296,1.6891891891891893,90.20270270270271
53,0.0286665993741798,284,3,15,281.0,1.056338028169014,5.28169014084507,98.94366197183099
54,0.0271952504069711,284,6,6,278.0,2.112676056338028,2.112676056338028,97.88732394366197
55,0.0263355201499531,281,4,7,277.0,1.4234875444839858,2.491103202846975,98.57651245551601
56,0.0277960371865902,296,18,3,278.0,6.081081081081081,1.0135135135135136,93.91891891891892
57,0.0252182347235693,260,1,37,259.0,0.38461538461538464,14.23076923076923,99.61538461538461
58,0.0232860283829702,233,7,34,226.0,3.004291845493562,14.592274678111588,96.99570815450643
59,0.0285998507833872,230,7,10,223.0,3.0434782608695654,4.3478260869565215,96.95652173913044
60,0.0277333333333333,260,31,1,229.0,11.923076923076923,0.38461538461538464,88.07692307692308
61,0.0280677337044769,242,4,22,238.0,1.6528925619834711,9.090909090909092,98.34710743801652
62,0.0250027657926761,226,3,19,223.0,1.3274336283185841,8.4070796460177,98.67256637168141
63,0.0240513094601817,225,5,6,220.0,2.2222222222222223,2.6666666666666665,97.77777777777777
64,0.0226275236516141,232,10,3,222.0,4.310344827586207,1.293103448275862,95.6896551724138
65,0.0238362025058571,234,4,2,230.0,1.7094017094017093,0.8547008547008547,98.2905982905983
66,0.0263721402006085,234,6,6,228.0,2.5641025641025643,2.5641025641025643,97.43589743589743
67,0.0269854420641496,228,3,9,225.0,1.3157894736842106,3.9473684210526314,98.6842105263158
