gen,subsetID,Qpeak_reduction,cost,rank,subsetID,created_in_gen
1,_000096,4.214752197265625,486694.1681524455,0,_000096,0
1,_000024,5.53936767578125,589223.9866894122,0,_000024,0
1,_010029,5.88287353515625,592779.9981806296,0,_010029,1
1,_000201,6.0953521728515625,607401.9547395334,0,_000201,0
1,_000188,6.833023071289063,707128.8007812476,0,_000188,0
1,_010007,6.913131713867188,718378.680531679,0,_010007,1
1,_010021,7.726455688476562,760477.9944403147,0,_010021,1
1,_010012,8.17205810546875,970613.252285733,0,_010012,1
1,_000091,8.18194580078125,989226.8652248844,0,_000091,0
1,_000168,8.2847900390625,995102.56602436,0,_000168,0
1,_000082,8.813735961914062,1011557.6341309752,0,_000082,0
1,_000143,9.118850708007812,1027164.233744973,0,_000143,0
1,_010039,9.1275634765625,1039239.8917303614,0,_010039,1
1,_010060,9.150039672851562,1047005.291688545,0,_010060,1
1,_010104,9.462799072265623,1101497.3151940133,0,_010104,1
1,_000127,9.52117919921875,1253825.8595130614,0,_000127,0
1,_010048,9.531784057617188,1260139.3673632282,0,_010048,1
1,_010076,9.639999389648438,1273501.2101430583,0,_010076,1
1,_000121,9.904541015625,1469663.0080631676,0,_000121,0
1,_010011,10.382827758789062,1477690.9190008214,0,_010011,1
1,_010068,10.562652587890623,1495767.8646131062,0,_010068,1
1,_000020,10.573593139648438,1507323.5395356792,0,_000020,0
1,_010032,10.6212158203125,1530416.8329739026,0,_010032,1
1,_010037,10.635040283203123,1577627.9083881378,0,_010037,1
1,_010015,10.946197509765623,1610018.1247284124,0,_010015,1
1,_000144,13.66180419921875,1668724.674404074,0,_000144,0
1,_010041,13.67999267578125,1672413.5173766727,0,_010041,1
1,_000063,13.713119506835938,1683854.3604025724,0,_000063,0
1,_010100,13.743240356445312,1699521.4274721977,0,_010100,1
1,_000152,14.01129150390625,1957881.702129476,0,_000152,0
1,_010090,14.04986572265625,1960082.858365408,0,_010090,1
1,_000039,14.232009887695312,1965365.5770579225,0,_000039,0
1,_010031,15.919265747070312,1965777.1746442425,0,_010031,1
1,_000027,15.937713623046877,1986258.8321751093,0,_000027,0
1,_010028,15.939743041992188,2000269.7201999351,0,_010028,1
1,_000145,15.977066040039062,2001534.5802371013,0,_000145,0
1,_010092,15.980072021484377,2006251.5183345373,0,_010092,1
1,_000210,16.165267944335938,2136892.3511597146,0,_000210,0
1,_000019,16.168212890625,2147312.073223425,0,_000019,0
1,_000038,17.861297607421875,2351720.206133364,0,_000038,0
