gen,subsetID,Qpeak_reduction,cost,rank,subsetID,created_in_gen
2,_000108,9.881668090820312,1094604.732126776,0,_000108,0
2,_020051,10.686721801757812,1137665.1525152077,0,_020051,2
2,_020016,11.105758666992188,1141062.35255946,0,_020016,2
2,_010078,11.151626586914062,1175938.8551959996,0,_010078,1
2,_010061,11.552001953125,1345927.6778244718,0,_010061,1
2,_020008,11.555740356445312,1353813.8319838482,0,_020008,2
2,_020070,11.66741943359375,1373395.7377934265,0,_020070,2
3,_020023,1.2667236328125,98747.1731732767,0,_020023,2
3,_000115,1.268402099609375,108844.10356403164,0,_000115,0
3,_010007,1.279296875,112532.94653663068,0,_010007,1
3,_030016,1.328643798828125,121340.12208115168,0,_030016,3
3,_030054,1.56622314453125,124060.14506129843,0,_030054,3
3,_020000,1.6009521484375,157433.2904935847,0,_020000,2
3,_000081,1.6071014404296875,165177.94575008823,0,_000081,0
3,_000171,1.949981689453125,173039.89010758232,0,_000171,0
3,_000079,2.296051025390625,173985.26745047723,0,_000079,0
3,_020103,2.3179473876953125,176544.35102186547,0,_020103,2
3,_030027,2.35223388671875,189930.26664356253,0,_030027,3
3,_030082,3.35906982421875,218478.38914477624,0,_030082,3
3,_000075,3.35943603515625,243065.55018071184,0,_000075,0
3,_030065,3.483428955078125,245537.7656913557,0,_030065,3
3,_030098,3.6171722412109375,251220.37553881307,0,_030098,3
3,_020084,3.6943206787109375,262044.34686465983,0,_020084,2
3,_030037,3.824050903320313,297817.0458516458,0,_030037,3
3,_010083,4.374557495117188,299776.37031370646,0,_010083,1
3,_030066,4.9951171875,336647.0302563589,0,_030066,3
3,_010090,5.1665802001953125,340272.2174339048,0,_010090,1
3,_020060,5.1721954345703125,345162.94778619136,0,_020060,2
3,_020018,5.174102783203125,352445.3453124893,0,_020018,2
3,_020056,5.205230712890625,384962.4538972144,0,_020056,2
3,_030070,5.2100372314453125,399872.0385108012,0,_030070,3
3,_030102,5.31732177734375,427051.4307282951,0,_030102,3
3,_030034,6.1639404296875,434534.1837898709,0,_030034,3
3,_020039,6.1982421875,525435.4480335996,0,_020039,2
3,_030007,6.290328979492188,528387.9693508348,0,_030007,3
3,_020065,6.3421173095703125,565389.3690731939,0,_020065,2
3,_030057,6.38848876953125,568553.3832948003,0,_030057,3
3,_020026,6.943862915039063,613848.2338098334,0,_020026,2
3,_010072,6.9927825927734375,616974.7751926113,0,_010072,1
3,_030046,7.37799072265625,620750.3301547286,0,_030046,3
3,_030045,8.280059814453125,685782.9951068326,0,_030045,3
3,_030013,8.57379150390625,806234.6179183539,0,_030013,3
3,_030020,8.860183715820312,835213.4511498684,0,_030020,3
3,_030079,9.279190063476562,835292.7109675104,0,_030079,3
3,_000118,9.351242065429688,852546.5682523926,0,_000118,0
3,_030080,9.610122680664062,1020071.404264976,0,_030080,3
3,_030060,9.632415771484377,1060588.452226971,0,_030060,3
3,_030089,10.231033325195312,1070899.8314295865,0,_030089,3
3,_030043,11.105880737304688,1123322.303588708,0,_030043,3
3,_030086,11.149246215820312,1161927.967171174,0,_030086,3
3,_010078,11.151626586914062,1175938.8551959996,0,_010078,1
3,_030103,11.23333740234375,1311541.3240721177,0,_030103,3
3,_030030,11.433853149414062,1342296.422454885,0,_030030,3
3,_010061,11.552001953125,1345927.6778244718,0,_010061,1
3,_030003,11.579483032226562,1351255.466478424,0,_030003,3
3,_030026,11.651031494140623,1360009.8221717293,0,_030026,3
3,_020070,11.66741943359375,1373395.7377934265,0,_020070,2
4,_040027,1.888702392578125,55234.80704401487,0,_040027,4
4,_000171,1.949981689453125,173039.89010758232,0,_000171,0
4,_000079,2.296051025390625,173985.26745047723,0,_000079,0
4,_020103,2.3179473876953125,176544.35102186547,0,_020103,2
4,_040098,2.326202392578125,188406.52129460007,0,_040098,4
4,_030027,2.35223388671875,189930.26664356253,0,_030027,3
4,_030082,3.35906982421875,218478.38914477624,0,_030082,3
4,_000075,3.35943603515625,243065.55018071184,0,_000075,0
4,_030065,3.483428955078125,245537.7656913557,0,_030065,3
4,_030098,3.6171722412109375,251220.37553881307,0,_030098,3
4,_040003,3.63922119140625,258880.33264305344,0,_040003,4
4,_020084,3.6943206787109375,262044.34686465983,0,_020084,2
4,_040081,3.7796783447265625,275020.7232774569,0,_040081,4
4,_030037,3.824050903320313,297817.0458516458,0,_030037,3
4,_040030,4.0030364990234375,299774.28346995515,0,_040030,4
4,_010083,4.374557495117188,299776.37031370646,0,_010083,1
4,_040036,4.4022064208984375,332064.60823284683,0,_040036,4
4,_040052,5.11474609375,332666.9292690713,0,_040052,4
4,_010090,5.1665802001953125,340272.2174339048,0,_010090,1
4,_020060,5.1721954345703125,345162.94778619136,0,_020060,2
4,_020018,5.174102783203125,352445.3453124893,0,_020018,2
4,_040042,5.5814971923828125,352557.1942470474,0,_040042,4
4,_040009,5.611846923828125,379862.928887913,0,_040009,4
4,_040038,6.0037384033203125,427911.3087873736,0,_040038,4
4,_030034,6.1639404296875,434534.1837898709,0,_030034,3
4,_020039,6.1982421875,525435.4480335996,0,_020039,2
4,_030007,6.290328979492188,528387.9693508348,0,_030007,3
4,_040055,6.652496337890625,548708.469140081,0,_040055,4
4,_040083,6.6817474365234375,597747.7118025683,0,_040083,4
4,_020026,6.943862915039063,613848.2338098334,0,_020026,2
4,_010072,6.9927825927734375,616974.7751926113,0,_010072,1
4,_030046,7.37799072265625,620750.3301547286,0,_030046,3
4,_040079,8.254257202148438,675195.4110730209,0,_040079,4
