damID,mid_2080_01feb_gen100,mid_2080_01feb_%,mid_5050_01feb_gen100,mid_5050_01feb_%,mid_8020_01feb_gen100,mid_8020_01feb_%,mid_2080SP_01feb_gen100,mid_2080SP_01feb_%,mid_5050SP_01feb_gen100,mid_5050SP_01feb_%,mid_8020SP_01feb_gen100,mid_8020SP_01feb_%
200348,2,0.423728813559322,0,0.0,0,0.0,30,6.3559322033898304,0,0.0,9,1.9067796610169492
200349,0,0.0,0,0.0,0,0.0,16,3.389830508474576,41,8.686440677966102,9,1.9067796610169492
200350,0,0.0,35,7.415254237288136,0,0.0,15,3.1779661016949152,39,8.26271186440678,9,1.9067796610169492
200351,99,20.97457627118644,47,9.957627118644067,85,18.008474576271187,62,13.135593220338983,39,8.26271186440678,57,12.076271186440678
200352,103,21.822033898305083,19,4.02542372881356,85,18.008474576271187,81,17.161016949152543,40,8.474576271186441,57,12.076271186440678
200353,0,0.0,0,0.0,0,0.0,65,13.771186440677965,0,0.0,9,1.9067796610169492
200355,20,4.237288135593221,0,0.0,16,3.389830508474576,27,5.720338983050848,24,5.084745762711864,0,0.0
200356,73,15.466101694915254,0,0.0,0,0.0,0,0.0,4,0.847457627118644,20,4.237288135593221
200357,0,0.0,0,0.0,0,0.0,1,0.211864406779661,6,1.271186440677966,0,0.0
200370,0,0.0,0,0.0,0,0.0,3,0.635593220338983,6,1.271186440677966,0,0.0
200371,95,20.127118644067796,0,0.0,0,0.0,3,0.635593220338983,6,1.271186440677966,7,1.4830508474576272
200372,23,4.872881355932203,1,0.211864406779661,24,5.084745762711864,3,0.635593220338983,6,1.271186440677966,0,0.0
200374,1,0.211864406779661,0,0.0,0,0.0,7,1.4830508474576272,34,7.203389830508475,0,0.0
200375,4,0.847457627118644,7,1.4830508474576272,12,2.542372881355932,12,2.542372881355932,10,2.1186440677966103,11,2.330508474576271
200377,0,0.0,54,11.440677966101696,0,0.0,14,2.9661016949152543,44,9.322033898305085,8,1.694915254237288
200378,7,1.4830508474576272,3,0.635593220338983,3,0.635593220338983,13,2.7542372881355934,42,8.898305084745763,0,0.0
200385,119,25.21186440677966,233,49.36440677966102,241,51.059322033898304,156,33.05084745762712,214,45.33898305084746,211,44.70338983050848
200391,0,0.0,0,0.0,0,0.0,0,0.0,1,0.211864406779661,0,0.0
200392,18,3.8135593220338984,128,27.11864406779661,1,0.211864406779661,24,5.084745762711864,13,2.7542372881355934,24,5.084745762711864
200393,0,0.0,1,0.211864406779661,0,0.0,2,0.423728813559322,0,0.0,4,0.847457627118644
