damID	flooded_list
300967	[200294]
300968	[200294, 300967]
300969	[300967, 300968]
300970	[200227, 200228, 200294, 300967, 300968, 300969]
300971	[200286, 300967, 300968, 300969, 300970]
300972	[300970, 300971]
300973	[300972]
300974	[]
300975	[300974]
300978	[]
300980	[200307, 200339, 200340]
300981	[]
300982	[300981]
300983	[300981, 300982]
300984	[300982, 300983]
300985	[300984]
300986	[300985]
300988	[]
300989	[300988]
300990	[300989]
300992	[]
300993	[300992]
300995	[200445, 300992, 300993]
300996	[300995]
300997	[]
300998	[300997]
300999	[200377]
301000	[200378, 200385]
301001	[301000]
301002	[301001]
301003	[301001, 301002]
301004	[301002, 301003]
301006	[]
301008	[]
301009	[301008]
301010	[301008, 301009]
301011	[]
301012	[301011]
301013	[301012]
301014	[301013]
301015	[301014]
301016	[]
301017	[]
301018	[]
301019	[301018]
301020	[301019]
301021	[301020]
301022	[]
301028	[200494, 200495, 200505]
301029	[301028]
301030	[200450, 200495, 301028, 301029]
301031	[301028, 301029, 301030]
301033	[301031]
301034	[200471, 301030, 301031, 301033]
301035	[301033, 301034]
301036	[200433, 301033, 301034, 301035]
301037	[200433, 301035, 301036]
301038	[301036, 301037]
301039	[301037, 301038]
301040	[301038, 301039]
301041	[301039, 301040]
301043	[301041]
301044	[301041, 301043]
301045	[301043, 301044]
301046	[301043, 301044, 301045]
301050	[200478]
301051	[]
301056	[200539, 200563]
301057	[]
301058	[]
301060	[]
301061	[301060]
301065	[200524]
301066	[]
301067	[200529]
301068	[]
301069	[301068]
301070	[]
301071	[301070]
301072	[301071]
301073	[]
301074	[301073]
301075	[301074]
301076	[]
301077	[]
301079	[200649, 301077]
301080	[200649, 301079]
301081	[301079, 301080]
301082	[301080, 301081]
301083	[301081, 301082]
301084	[301082, 301083]
301085	[]
301086	[]
301087	[]
301088	[301087]
301089	[]
301090	[200550]
301091	[301090]
301092	[301091]
301093	[301092]
301094	[]
301095	[200597, 301094]
301096	[301094, 301095]
301097	[]
301098	[200534]
301099	[301098]
301100	[301098, 301099]
301101	[301100]
301102	[301101]
301103	[301102]
301104	[]
301105	[301104]
301106	[]
301110	[]
301111	[200573, 200620]
301112	[]
301113	[301112]
301114	[301113]
301116	[]
301121	[200615, 200625]
301122	[200644, 301121]
301123	[301122]
301124	[301123]
301125	[301124]
301127	[]
301128	[301127]
301129	[]
301130	[]
301131	[]
301133	[]
301134	[301133]
301135	[301133, 301134]
301137	[]
301138	[]
301139	[301137, 301138]
301140	[301137, 301138, 301139]
301141	[301138, 301139, 301140]
301143	[]
301149	[]
301150	[301149]
301152	[200744]
301157	[200682, 200691, 200692]
301158	[]
301162	[200703]
301164	[]
301165	[]
301168	[]
301169	[200738]
301170	[]
301171	[301170]
301172	[301171]
301173	[301172]
301175	[200718]
301176	[301175]
301185	[]
301186	[]
301187	[301186]
301188	[301187]
301193	[]
301195	[]
301196	[301195]
301197	[301195, 301196]
301198	[]
301200	[]
301204	[200804]
301205	[301204]
301206	[301205]
301207	[301206]
301208	[301207]
301209	[301208]
301210	[301208, 301209]
301211	[301209, 301210]
301213	[]
301214	[301213]
301215	[301214]
301216	[]
301217	[]
301218	[]
301219	[]
301220	[]
301221	[]
301222	[]
301224	[]
401228	[200009, 300841, 300844, 300845, 300846]
401229	[200009, 300844, 300845, 300846, 401228]
401231	[300846, 401228, 401229]
401233	[200074, 401229, 401231]
401235	[401233]
401236	[401235]
401237	[401235, 401236]
401238	[401235, 401236, 401237]
401239	[401237, 401238]
401240	[401238, 401239]
401241	[401239, 401240]
401242	[401240, 401241]
401243	[401241, 401242]
401244	[401243]
401245	[]
401246	[200037, 200052, 300856, 300857, 401245]
401247	[200037, 300856, 300857, 401245, 401246]
401248	[300857, 401245, 401246, 401247]
401249	[200088, 401247, 401248]
401251	[401249]
401252	[401251]
401253	[]
401254	[200080, 300891, 300892, 300899, 300900]
401255	[300891, 300892, 300900, 401254]
401258	[300927]
401259	[300914, 300927, 401258]
401260	[401258, 401259]
401262	[300898]
401263	[401262]
401264	[401263]
401265	[]
401266	[]
401267	[401266]
401268	[401267]
401269	[401268]
401270	[401268, 401269]
401274	[]
401275	[200145, 200155, 300912, 300922]
401276	[300922, 401275]
401277	[]
401278	[]
401279	[]
401281	[300908]
401282	[401281]
401283	[401282]
401285	[300886]
401286	[401285]
401287	[401286]
401288	[401286, 401287]
401289	[401288]
401290	[401289]
401291	[401289, 401290]
401292	[401289, 401290, 401291]
401293	[401290, 401291, 401292]
401294	[401291, 401292, 401293]
401295	[401293, 401294]
401296	[]
401297	[]
401300	[300920, 300921, 300932]
401301	[300921, 300932, 401300]
401303	[]
401305	[401303]
401306	[401303, 401305]
401308	[401305, 401306]
401311	[401308]
401314	[]
401315	[401314]
401316	[401314, 401315]
401317	[401316]
401318	[401316, 401317]
401319	[401316, 401317, 401318]
401320	[401315, 401316, 401317, 401318, 401319]
401321	[401319, 401320]
401323	[401318, 401319, 401320, 401321]
401324	[401319, 401320, 401321, 401323]
401325	[401324]
401327	[200353, 301006, 401321, 401323, 401324, 401325]
401328	[301006, 401323, 401324, 401325, 401327]
401329	[]
401330	[401329]
401331	[401330]
401332	[401331]
401334	[401332]
401336	[300974, 300975, 300978]
401337	[300974, 300975, 300978, 401336]
401338	[401336, 401337]
401341	[300972, 300973]
401342	[200221, 300972, 300973, 401341]
401345	[200221, 300972, 300973, 401341, 401342]
401346	[200221, 300972, 300973, 401341, 401342, 401345]
401347	[401341, 401342, 401345, 401346]
401348	[401347]
401349	[301045, 301046, 401346, 401347, 401348]
401350	[301046, 401346, 401347, 401348, 401349]
