,mean_dist_to_outlet,Qpeak_reduction,cost
_2000237,13529.174077080419,55.56485748291016,2592662.4254574548
_2000088,13383.943016396104,55.59163665771485,2628283.0503977104
_1960007,13616.369404378562,55.82366180419922,2656304.476335892
_2000322,13676.349761837355,55.8623275756836,2672060.5677612857
_1980285,13479.008646952963,56.0685577392578,2714683.6745560914
_1980277,13591.682004036342,56.16554260253906,2841299.497854209
_2000127,13842.653141117147,56.25704956054688,2850173.01585764
_1950159,13842.383359722533,56.45590972900391,2872425.546582115
_2000082,13763.90958454004,56.566673278808594,2893840.3436917206
_1960307,13799.61401040687,56.65885925292967,2906588.108755119
_2000101,13260.235201383475,56.71028900146485,3197929.514192092
_1970311,13302.912553458105,56.822784423828125,3199239.58160808
_1980000,13281.459636402462,56.86016082763672,3238217.7034399286
_1990073,13134.758111002871,57.2790069580078,3320109.6967076547
_2000330,13115.380514986711,57.42755126953124,3407906.586916984
