damID	depth	storage	outflow_rect
200035	2.1	1473.16	0.48
200035	2.2	1607.31	0.49
200035	2.3	1741.47	0.5
200035	2.4	1875.62	0.51
200035	2.5	2009.78	0.53
200035	2.591300585	2680.55	0.54
200037	0.0	0.0	0.0
200037	0.1	32.02	0.0
200037	0.2	64.05	0.02
200037	0.3	96.07	0.06
200037	0.4	128.1	0.15
200037	0.5	160.12	0.19
200037	0.6	192.15	0.22
200037	0.7	224.17	0.25
200037	0.8	256.19	0.27
200037	0.9	288.22	0.29
200037	1.0	320.24	0.31
200037	1.1	471.72	0.33
200037	1.2	623.19	0.35
200037	1.3	774.67	0.36
200037	1.4	926.15	0.38
200037	1.5	1077.62	0.4
200037	1.6	1229.1	0.41
200037	1.7	1380.57	0.43
200037	1.8	1532.05	0.44
200037	1.9	1683.52	0.45
200037	2.0	1835.0	0.47
200037	2.1	2164.8	0.48
200037	2.2	2494.6	0.49
200037	2.3	2824.4	0.5
200037	2.4	3154.2	0.51
200037	2.5	3484.0	0.53
200037	2.6	3813.8	0.54
200037	2.7	4143.6	0.55
200037	2.8	4473.4	0.56
200037	2.9	4803.2	0.57
200037	3.0	5133.0	0.58
200037	3.1	5707.9	0.59
200037	3.2	6282.8	0.6
200037	3.3	6857.7	0.61
200037	3.4	7432.6	0.62
200037	3.5	8007.5	0.63
200037	3.6	8582.4	0.64
200037	3.7	9157.3	0.65
200037	3.8	9732.2	0.66
200037	3.9	10307.1	0.67
200037	4.0	10882.0	0.68
200037	4.1	11090.23	0.69
200037	4.2	11298.45	0.69
200037	4.264588182	12964.27	0.7
200039	0.0	0.0	0.0
200039	0.1	160.21	0.0
200039	0.2	320.42	0.02
200039	0.3	480.63	0.06
200039	0.4	640.85	0.15
200039	0.5	801.06	0.19
200039	0.6	961.27	0.22
200039	0.7	1121.48	0.25
200039	0.8	1281.69	0.27
200039	0.9	1441.9	0.29
200039	1.0	1602.12	0.31
200039	1.1	1652.61	0.33
200039	1.10873333	2107.04	0.33
200040	0.0	0.0	0.0
200040	0.1	39.84	0.0
200040	0.2	79.69	0.02
200040	0.3	119.53	0.06
200040	0.4	159.37	0.15
200040	0.5	199.22	0.19
200040	0.6	239.06	0.22
200040	0.7	278.9	0.25
200040	0.8	318.75	0.27
200040	0.9	358.59	0.29
200040	1.0	398.43	0.31
200040	1.097654428	511.62	0.33
200041	0.0	0.0	0.0
200041	0.1	8.04	0.0
200041	0.2	16.08	0.02
200041	0.3	24.12	0.06
200041	0.4	32.15	0.15
200041	0.5	40.19	0.19
200041	0.6	48.23	0.22
200041	0.7	56.27	0.25
200041	0.8	64.31	0.27
200041	0.9	72.35	0.29
200041	1.0	80.38	0.31
200041	1.1	136.05	0.33
200041	1.2	191.71	0.35
200041	1.3	247.37	0.36
200041	1.4	303.03	0.38
200041	1.5	358.69	0.4
200041	1.6	414.35	0.41
200041	1.7	470.02	0.43
200041	1.8	525.68	0.44
200041	1.9	581.34	0.45
200041	2.0	637.0	0.47
200041	2.1	715.34	0.48
200041	2.2	793.68	0.49
200041	2.3	872.02	0.5
200041	2.4	950.36	0.51
200041	2.5	1028.7	0.53
200041	2.6	1107.04	0.54
200041	2.687405126	1420.4	0.55
200043	0.0	0.0	0.0
200043	0.1	28.16	0.0
200043	0.2	56.31	0.02
200043	0.3	84.47	0.06
200043	0.4	112.62	0.15
200043	0.5	140.78	0.19
200043	0.6	168.94	0.22
200043	0.7	197.09	0.25
200043	0.8	225.25	0.27
200043	0.9	253.4	0.29
200043	1.0	281.56	0.31
200043	1.1	470.2	0.33
200043	1.2	658.85	0.35
200043	1.3	847.49	0.36
200043	1.4	1036.14	0.38
200043	1.5	1224.78	0.4
200043	1.6	1413.42	0.41
200043	1.7	1602.07	0.43
200043	1.8	1790.71	0.44
200043	1.9	1979.36	0.45
200043	2.0	2168.0	0.47
200043	2.1	2635.1	0.48
200043	2.2	3102.2	0.49
200043	2.3	3569.3	0.5
200043	2.4	4036.4	0.51
200043	2.5	4503.5	0.53
200043	2.6	4970.6	0.54
200043	2.7	5437.7	0.55
200043	2.8	5904.8	0.56
200043	2.9	6371.9	0.57
200043	3.0	6839.0	0.58
200043	3.081939011	7389.91	0.59
200044	0.0	0.0	0.0
200044	0.1	31.11	0.0
200044	0.2	62.22	0.02
200044	0.3	93.32	0.06
200044	0.4	124.43	0.15
200044	0.5	155.54	0.19
200044	0.6	186.65	0.22
200044	0.7	217.76	0.25
200044	0.8	248.86	0.27
200044	0.9	279.97	0.29
200044	1.0	311.08	0.31
200044	1.1	516.87	0.33
200044	1.2	722.66	0.35
200044	1.3	928.46	0.36
200044	1.4	1134.25	0.38
200044	1.5	1340.04	0.4
200044	1.6	1545.83	0.41
200044	1.7	1751.62	0.43
200044	1.8	1957.42	0.44
200044	1.9	2163.21	0.45
200044	2.0	2369.0	0.47
200044	2.1	2719.01	0.48
200044	2.2	3069.01	0.49
200044	2.3	3419.02	0.5
200044	2.4	3769.02	0.51
200044	2.5	4119.03	0.53
200044	2.6	4469.03	0.54
200044	2.7	4819.04	0.55
200044	2.742257575	5869.05	0.55
200045	0.0	0.0	0.0
200045	0.1	20.49	0.0
200045	0.2	40.97	0.02
200045	0.3	61.46	0.06
200045	0.4	81.95	0.15
200045	0.5	102.43	0.19
200045	0.6	122.92	0.22
200045	0.7	143.4	0.25
200045	0.8	163.89	0.27
200045	0.9	184.38	0.29
200045	1.0	204.86	0.31
200045	1.1	264.26	0.33
200045	1.2	323.66	0.35
200045	1.3	383.06	0.36
200045	1.4	442.45	0.38
200045	1.5	501.85	0.4
200045	1.571342299	798.84	0.41
200046	0.0	0.0	0.0
200046	0.1	21.69	0.0
200046	0.2	43.37	0.02
200046	0.3	65.06	0.06
200046	0.4	86.74	0.15
200046	0.5	108.43	0.19
200046	0.6	130.11	0.22
200046	0.7	151.8	0.25
200046	0.8	173.48	0.27
200046	0.9	195.17	0.29
200046	1.0	216.85	0.31
200046	1.1	358.27	0.33
200046	1.2	499.68	0.35
200046	1.3	641.1	0.36
200046	1.4	782.51	0.38
200046	1.5	923.93	0.4
200046	1.6	1065.34	0.41
200046	1.7	1206.76	0.43
200046	1.8	1348.17	0.44
200046	1.9	1489.59	0.45
200046	2.0	1631.0	0.47
200046	2.1	1848.05	0.48
200046	2.2	2065.1	0.49
200046	2.3	2282.16	0.5
200046	2.4	2499.21	0.51
200046	2.5	2716.26	0.53
