subsetID,Q_peak,Qpeak_reduction,cost,floodedArea
_000042,164.45706176757812,0.176483154296875,35794.75324509364,6552.9721921
_000043,164.462646484375,0.1708984375,33686.589110669585,1770.7228648999999
_000044,159.4037628173828,5.2297821044921875,977675.0779521039,122380.70295779
_000045,160.65664672851562,3.976898193359375,496733.72577952093,43791.693404699996
_000046,162.45245361328125,2.18109130859375,426154.7633991897,44943.49885419999
_000047,160.17001342773438,4.463531494140625,947446.4356223422,142303.3418361
_000048,157.17161560058594,7.4619293212890625,1005530.5154811292,109156.8034635
_000049,159.69082641601562,4.942718505859375,1011397.735312746,152008.30496520002
_000050,164.01080322265625,0.62274169921875,138450.60807068343,16636.9426284
_000051,160.96456909179688,3.668975830078125,675431.7207029336,71142.4684564
_000052,163.886474609375,0.7470703125,249768.31828582718,28139.4929461
_000053,159.0914306640625,5.5421142578125,1169161.6884686674,149634.32959503002
_000054,160.50904846191406,4.1244964599609375,893497.3010647441,125033.38858330002
_000055,164.4903564453125,0.1431884765625,51073.60898058668,6588.299543
_000056,156.07196044921875,8.56158447265625,1271347.9858581922,177080.32276821
_000057,163.03770446777344,1.5958404541015625,194128.57649848406,17217.254062250002
_000058,162.3765106201172,2.2570343017578125,603494.8181191953,68007.9139176
_000059,162.67320251464844,1.9603424072265625,463012.01259686996,60415.460984100006
_000060,159.13104248046875,5.50250244140625,837000.1659769785,96465.63286160001
_000061,164.2381591796875,0.3953857421875,82174.53434924691,12430.594991
_000062,162.1580810546875,2.4754638671875,439601.39438092354,56250.765435400004
_000063,154.9102020263672,9.723342895507812,1153548.5910823205,136415.02534375
_000064,160.19920349121094,4.4343414306640625,343743.15637366206,42339.226682399996
_000065,163.08938598632812,1.544158935546875,226781.12701717694,37008.8538853
_000066,163.97308349609375,0.66046142578125,151798.37222855224,21304.226147699996
_000067,159.0517578125,5.581787109375,884148.0554100745,109451.57929762002
_000068,162.7822723388672,1.8512725830078125,388312.976294762,44368.1683414
_000069,160.67913818359375,3.95440673828125,632409.8063834498,67992.18460375
_000070,158.2831573486328,6.3503875732421875,886081.365775415,102354.0273083
_000071,163.86880493164062,0.764739990234375,172262.08223062014,22321.970737699998
_000072,158.87399291992188,5.759552001953125,541993.1906358262,83506.45566610001
_000073,163.66433715820312,0.969207763671875,132930.78632840968,18316.8593976
_000074,163.2333984375,1.400146484375,278137.59488835436,26374.4286039
_000075,161.46791076660156,3.1656341552734375,243065.55018071184,37746.3633849
_000076,162.09617614746094,2.5373687744140625,303364.54351085424,43986.13425866
_000077,163.63833618164062,0.995208740234375,96562.9828399351,10551.341626000001
_000078,161.90689086914062,2.726654052734375,377739.642831146,39431.210426594
_000079,162.50930786132812,2.124237060546875,173985.26745047723,17542.24921431
_000080,160.70968627929688,3.923858642578125,445603.3395534626,77709.07714519999
_000081,163.15396118164062,1.479583740234375,165177.94575008823,20262.3219563
_000082,163.00616455078125,1.62738037109375,321684.88718862995,45504.656098499996
_000083,154.6977081298828,9.935836791992188,1375353.7940240344,158356.40596237002
_000084,160.15557861328125,4.47796630859375,950847.5351652761,105867.1326866
_000085,157.82119750976562,6.812347412109375,760862.4757840888,100154.556787954
_000086,157.0699920654297,7.5635528564453125,1049656.3409271147,144072.65357046
_000087,162.88702392578125,1.74652099609375,286685.2484233787,32044.4867608
_000088,163.6409454345703,0.9925994873046875,46117.67577838582,5229.9071307
_000089,157.41868591308594,7.2148590087890625,1225676.1630198758,159369.65969369997
_000090,157.72532653808594,6.9082183837890625,1019164.5777280283,114358.09923836001
_000091,162.4547882080078,2.1787567138671875,698725.9308185184,106415.99523500001
_000092,157.61924743652344,7.0142974853515625,1404920.4106750593,206658.61574176003
_000093,163.7154998779297,0.9180450439453125,294602.3223110549,27738.611761499997
_000094,160.07537841796875,4.55816650390625,729303.5618511564,87140.4072336
_000095,160.9248504638672,3.7086944580078125,592362.6512487634,92782.66482876
_000096,161.3568115234375,3.2767333984375,595876.8972195996,74877.9255874
_000097,161.15792846679688,3.475616455078125,412818.1387830057,50312.1198903
_000098,159.11712646484375,5.51641845703125,919201.5574580699,112014.9120356
_000099,164.28289794921875,0.35064697265625,75001.52103799423,6064.2526299
_000100,161.27850341796875,3.35504150390625,269876.3978434328,38540.8516036
_000101,159.05859375,5.574951171875,788960.8185995512,100482.85498949401
_000102,157.5294647216797,7.1040802001953125,1038842.4197984474,108373.7664708
_000103,164.34127807617188,0.292266845703125,182438.3882057679,17720.049934399998
_000104,159.451171875,5.182373046875,1125754.8487296354,147070.9450258
_000105,160.2946014404297,4.3389434814453125,528520.9044830811,39681.499102309994
_000106,160.78472900390625,3.84881591796875,779468.0805885919,100343.8098671
_000107,162.13430786132812,2.499237060546875,366968.23070219206,56889.7064268
_000108,155.6778106689453,8.955734252929688,1094604.7321267761,160106.5061977
_000109,159.5207061767578,5.1128387451171875,538363.4762367373,57507.909521500005
_000110,157.85400390625,6.779541015625,916724.2803764362,99123.63907621
_000111,164.11788940429688,0.515655517578125,240623.08444130566,17525.918589099998
_000112,162.1254425048828,2.5081024169921875,762278.214713486,108874.7677076
_000113,157.931396484375,6.7021484375,1078132.8722696598,134577.3675081
_000114,164.2108154296875,0.4227294921875,175885.05499293027,23270.8360595
_000115,163.42208862304688,1.211456298828125,108844.10356403164,16350.2494858
_000116,162.17953491210938,2.454010009765625,331696.25197548384,59929.6494411
_000117,161.57347106933594,3.0600738525390625,652672.015544197,71114.970898
_000118,156.12571716308594,8.507827758789062,852546.5682523926,139991.48087949998
_000119,162.5775146484375,2.0560302734375,563743.0510630135,65619.68141670001
_000120,161.85781860351562,2.775726318359375,669118.5568764547,77402.91331863
_000121,159.58863830566406,5.0449066162109375,963055.1441890826,132646.8772605
_000122,158.8792724609375,5.7542724609375,759071.9309797677,90161.832256594
_000123,161.90475463867188,2.728790283203125,351089.3775236574,46523.0350699
_000124,160.1059112548828,4.5276336669921875,527214.940628601,66766.244882954
_000125,161.97091674804688,2.662628173828125,253871.92797651625,35145.9851703
_000126,163.32640075683594,1.3071441650390625,195102.7594297343,24450.6935883
_000127,164.31492614746094,0.3186187744140625,21148.795300940616,2399.927911
_000128,159.7615966796875,4.8719482421875,1156357.6249467898,119929.25498130001
_000129,159.2338409423828,5.3997039794921875,972887.6291665463,124273.4334418
_000130,160.87503051757812,3.758514404296875,306134.0726154311,49003.246345700005
_000131,161.71209716796875,2.92144775390625,559619.2224476014,64415.5308453
_000132,164.3689422607422,0.2646026611328125,202664.3180250236,19782.567390199998
_000133,160.75738525390625,3.87615966796875,759242.1507693361,98281.2924113
_000134,162.9761962890625,1.6573486328125,259892.59271559707,26478.3326333
_000135,159.27923583984375,5.35430908203125,824486.9104925611,105798.90135860001
_000136,158.77874755859375,5.85479736328125,802355.378702561,108946.31793939
_000137,159.29469299316406,5.3388519287109375,1061558.6998178521,143643.1202029
_000138,161.03070068359375,3.60284423828125,488144.1823690792,74464.7718032
_000139,164.29751586914062,0.336029052734375,124442.86170071247,20075.566290860002
_000140,160.6881103515625,3.9454345703125,800252.3217984489,100702.81831119998
_000141,163.3739013671875,1.2596435546875,322857.29559744755,27486.2851131
_000142,159.49525451660156,5.1382904052734375,643604.1717850575,60389.438979989995
_000143,161.385498046875,3.248046875,551107.5627279591,75993.682988694
_000144,163.43411254882812,1.199432373046875,331324.7943978306,49770.94363
_000145,157.07452392578125,7.55902099609375,1022197.7258096087,139739.97412921
_000146,158.80975341796875,5.82379150390625,816718.0396806245,108618.8634091
_000147,159.9077911376953,4.7257537841796875,902589.6340715053,114515.7743929
_000148,161.62734985351562,3.006195068359375,769978.8128943553,87764.42250989999
_000149,160.64637756347656,3.9871673583984375,673523.6961046433,85987.98517750001
_000150,159.3918914794922,5.2416534423828125,620141.1273287492,89645.69568503
_000151,160.9539031982422,3.6796417236328125,792086.1113206302,97734.9972949
_000152,162.8138427734375,1.8197021484375,354126.4857909521,40819.2218398
_000153,158.7498779296875,5.8836669921875,748421.614341147,108074.59003166
_000154,159.0845184326172,5.5490264892578125,838173.7219743013,112259.88470765999
_000155,159.61898803710938,5.014556884765625,867976.4033901904,142703.5288048
_000156,164.07986450195312,0.553680419921875,226329.59266477934,23115.8088481
_000157,161.7090301513672,2.9245147705078125,401178.3684521938,44454.894524594
_000158,162.86976623535156,1.7637786865234375,370472.54211212316,31623.732831000005
_000159,161.4586944580078,3.1748504638671875,638773.1919205375,72284.44806579
_000160,161.2271728515625,3.4063720703125,717844.7931041201,94229.66375369999
_000161,159.21136474609375,5.42218017578125,760005.4523300464,102771.47111279
_000162,158.0028076171875,6.6307373046875,1208137.3965021807,171988.1410827
_000163,157.11300659179688,7.520538330078125,1012222.1843542305,135189.3101408
_000164,160.20655822753906,4.4269866943359375,911955.9156767149,113719.59710439999
_000165,160.70579528808594,3.9277496337890625,663296.0233821047,69506.48873609999
_000166,163.45111083984375,1.18243408203125,365012.0564282285,41621.9069137
_000167,159.8795166015625,4.7540283203125,877468.0367572332,119137.3639375
_000168,162.92965698242188,1.703887939453125,364415.8748991376,49346.9826431
_000169,162.09317016601562,2.540374755859375,346023.7448614129,43083.433569999994
